receiver_player_id,receiver_player_name,targets,Receptions,AirYards,ReceivingYards,completeAirYards,Touchdowns,expReceptions,expCompAirYards,PPR_points
00-0032977,R.Higgins,6,3,61,48,39,0,3.6941639815908394,32.12919178476933,7.800000000000001
00-0032117,N.O'Leary,4,4,19,37,19,0,2.6595161111075205,12.78775725019971,7.7
00-0035664,D.Henderson,6,4,3,37,0,0,4.518622688149382,1.5668593360712921,7.7
00-0034631,V.Smith,8,4,91,35,29,0,4.720489671213723,46.865450409622646,7.5
00-0030097,D.Quessenberry,1,1,1,1,1,1,0.8097792160337446,0.8097792160337446,7.1
00-0034184,G.Edwards,4,4,2,29,2,0,2.9324352397266127,0.6586935677656274,6.9
00-0035298,S.Miller,13,3,274,39,38,0,6.15631318473313,112.01202162410925,6.9
00-0031953,G.Davis,3,3,36,38,36,0,1.8933774733100068,21.469041160918664,6.800000000000001
00-0035308,T.Sweeney,8,3,68,38,26,0,4.937263833874012,29.177823075876343,6.800000000000001
00-0034400,J.Wilkins,4,4,8,27,8,0,2.8616575975305816,6.095018051743287,6.7
00-0035631,D.Sample,5,4,36,27,11,0,3.1914223672102833,18.26394860466624,6.7
00-0033434,B.Wilson,9,3,108,35,32,0,5.170309184541349,54.7212324768563,6.5
00-0034750,R.Penny,4,3,36,34,21,0,2.5475907481309052,13.733716990371839,6.4
00-0034319,D.Yelder,2,2,17,43,17,0,1.3112385607858945,9.406579049735523,6.3
00-0035432,J.Moore,2,2,37,43,37,0,1.084684047740262,16.42448533611236,6.3
00-0026986,M.Crabtree,5,4,26,22,17,0,3.2808915028154355,17.208959118419937,6.2
00-0032055,D.Funchess,5,3,49,32,26,0,3.0654227021107308,27.034434296700802,6.2
00-0032897,D.Watt,4,3,8,32,4,0,2.7319553388516784,5.669866415637424,6.2
00-0034419,B.Berrios,7,3,37,30,9,0,4.623504985374913,20.178644979762808,6
00-0032795,C.Core,5,3,32,28,25,0,3.3448971941945347,21.041060893591954,5.800000000000001
00-0031339,D.Moncrief,14,4,183,18,15,0,7.958262772775543,77.39871882856428,5.8
00-0032540,T.Carson,4,4,4,18,4,0,2.873418154444323,1.3608842033684292,5.8
00-0029931,Z.Line,6,3,8,26,-7,0,4.602947900041763,4.501946619528887,5.6
00-0030147,R.Shepard,8,3,72,25,12,0,5.176658498819883,34.64934427260551,5.5
00-0028237,C.Hogan,5,3,45,24,17,0,3.16032947303,22.96794580717383,5.4
00-0031068,R.Grant,8,4,27,14,9,0,5.683114717781613,15.95733443474591,5.4
00-0035645,G.Olszewski,4,2,24,34,18,0,2.8066982538130607,10.770179848816499,5.4
00-0032214,T.Kroft,5,2,41,32,19,0,3.114042251012009,21.679282103048294,5.2
00-0034788,J.Graham,2,2,10,32,10,0,1.363296663496065,6.317350264587674,5.2
00-0032398,C.Moore,5,3,61,21,11,0,2.990882558882948,26.86836849214924,5.1
00-0034358,D.Guice,3,3,-1,20,-1,0,2.2196006907994086,-0.9598671278765412,5
00-0034975,J.Hill,8,3,37,19,-1,0,5.515167847435508,18.402310014145414,4.9
00-0031431,M.Lee,4,3,22,18,17,0,2.735080124754906,14.834586885653316,4.8
00-0033439,P.Brown,3,2,27,27,13,0,1.915972642351186,16.596596226192837,4.7
00-0034011,D.Arnold,4,2,49,25,23,0,2.2751245965893583,25.06846242443229,4.5
00-0032661,B.Braunecker,3,2,22,24,8,0,2.0046599870935777,13.476252561535503,4.4
00-0034433,N.Bawden,5,3,2,14,-1,0,3.432171888603092,0.918966983841325,4.4
00-0032986,J.Holtz,3,2,4,23,0,0,2.2823110518348724,2.63325792622735,4.300000000000001
00-0033705,A.Patton,4,2,49,22,12,0,2.2702548111274385,21.847295268637197,4.2
00-0033994,F.Brown,3,2,34,21,21,0,1.7250101566872476,18.606153666784493,4.1
00-0034972,A.Mattison,4,3,23,11,2,0,2.7982537533308425,9.928487690142623,4.1
00-0029319,J.Bellamy,3,2,23,20,10,0,1.979009104440601,13.555020346935667,4
00-0032062,B.Bell,7,3,44,10,7,0,4.537614389155493,17.7741103279857,4
00-0035215,D.Harris,3,3,-3,10,-3,0,2.3862489082305753,-3.2148010639401554,4
00-0031665,Z.Zenner,3,2,5,19,0,0,2.280811668321686,3.1075970167885427,3.9000000000000004
00-0032464,K.Raymond,2,2,14,19,14,0,1.3527899384028323,9.240976492559966,3.9000000000000004
00-0031972,D.Jennings,4,2,46,17,3,0,2.5698586287840097,16.152367207715358,3.7
00-0034393,T.Fumagalli,2,2,14,16,14,0,1.3013479999766502,8.983766800429056,3.6
00-0033567,B.Hill,2,2,3,14,3,0,1.5525684027232067,1.9464072198595288,3.4000000000000004
00-0034798,D.Smythe,3,1,48,24,24,0,1.6658113115366842,24.119272833531774,3.4000000000000004
00-0035246,J.Arcega-Whiteside,5,2,87,14,9,0,2.83154416795922,38.0387404532553,3.4000000000000004
00-0033367,C.Board,3,1,24,23,18,0,1.7653569189295941,13.710060966786598,3.3000000000000003
00-0035669,N.Scott,1,1,3,23,3,0,0.7041162133212243,2.112348639963673,3.3000000000000003
00-0028292,N.Bellore,1,1,0,20,0,0,0.5697067234063448,0,3
00-0030443,L.Toilolo,2,2,-3,10,-3,0,1.7300574798364972,-2.8713338391772663,3
00-0034578,R.Bonnafon,3,2,3,10,0,0,2.2488655348338353,1.066541888323127,3
00-0035249,J.Oliver,3,2,17,10,7,0,2.1172110580061085,11.60891304825074,3
