full_player_name,team,position,Yards,Receptions,Touchdowns,FirstDowns,HalfPPR,HalfPPR_PPFD,PosRank
Dan Arnold,NO,TE,150,12,1,9,27,31.5,63
Richie James,SF,WR,130,9,2,4,29.5,31.5,137
Alex Smith,WAS,QB,173,0,1,15,23.3,30.8,19
Andrew Luck,IND,QB,168,1,1,13,23.3,29.8,20
Michael Floyd,WAS,WR,102,10,2,5,27.2,29.7,138
Deonte Thompson,BUF,WR,161,17,0,10,24.6,29.6,139
Sam Darnold,NYJ,QB,151,0,1,16,21.1,29.1,21
Jeff Driskel,CIN,QB,134,0,2,7,25.400000000000002,28.900000000000002,22
Josh Bellamy,CHI,WR,119,14,1,8,24.9,28.9,140
Jared Goff,LA,QB,123,0,2,9,24.3,28.8,23
Austin Carr,NO,WR,97,9,2,5,26.2,28.7,141
NA,NA,NA,136,11,1,7,25.1,28.6,1
Marvin Hall,ATL,WR,149,10,1,5,25.900000000000002,28.400000000000002,142
D.J. Chark,JAX,WR,174,14,0,6,24.400000000000002,27.400000000000002,143
Jordan Leggett,NYJ,TE,114,14,1,6,24.400000000000002,27.400000000000002,64
Ryan Tannehill,MIA,QB,157,1,1,10,22.2,27.2,24
Andre Holmes,DEN,WR,162,13,0,8,22.7,26.7,144
Garrett Celek,SF,TE,90,5,2,5,23.5,26,65
Kirk Cousins,MIN,QB,128,1,1,12,19.3,25.3,25
Andy Janovich,DEN,FB,117,8,1,7,21.7,25.2,3
Zach Line,NO,FB,55,5,2,8,20,24,4
Cameron Meredith,NO,WR,114,9,1,4,21.900000000000002,23.900000000000002,145
MyCole Pruitt,TEN,TE,102,9,1,6,20.7,23.7,66
Austin Seferian-Jenkins,JAX,TE,90,11,1,6,20.5,23.5,67
Andre Roberts,NYJ,WR,99,10,1,5,20.900000000000002,23.400000000000002,146
Damion Ratley,CLE,WR,144,13,0,5,20.900000000000002,23.400000000000002,146
Anthony Sherman,KC,RB,98,8,1,6,19.8,22.8,89
Deontay Burnett,NYJ,WR,143,10,0,7,19.3,22.8,148
Logan Paulsen,ATL,TE,91,9,1,6,19.6,22.6,68
Andy Jones,DET,WR,80,11,1,6,19.5,22.5,149
Tom Brady,NE,QB,49,1,2,10,17.4,22.4,26
Jake Kumerow,GB,WR,103,8,1,4,20.3,22.3,150
Scott Simonson,NYG,TE,86,9,1,6,19.1,22.1,69
Brandon Powell,DET,WR,133,11,0,6,18.8,21.8,151
Josh Johnson,WAS,QB,122,0,1,7,18.2,21.7,27
Nick O'Leary,MIA,TE,86,8,1,6,18.6,21.6,70
Marcus Johnson,IND,WR,100,6,1,5,19,21.5,152
Tyrod Taylor,CLE,QB,125,0,1,6,18.5,21.5,28
Taquan Mizzell,CHI,RB,94,8,1,4,19.400000000000002,21.400000000000002,90
Cameron Batson,TEN,WR,83,8,1,6,18.3,21.3,153
Dalton Schultz,DAL,TE,116,12,0,6,17.6,20.6,71
Trey Quinn,WAS,WR,75,9,1,5,18,20.5,154
Cameron Artis-Payne,CAR,RB,84,3,1,9,15.9,20.400000000000002,91
Brian Hill,ATL,RB,166,1,0,5,17.1,19.6,92
Leonte Carroo,MIA,WR,108,2,1,3,17.8,19.3,155
Stevan Ridley,PIT,RB,98,3,1,4,17.3,19.3,93
Vyncint Smith,HOU,WR,91,5,1,3,17.6,19.1,156
Dwayne Washington,NO,RB,154,0,0,7,15.4,18.900000000000002,94
Eric Tomlinson,NYJ,TE,72,8,1,3,17.2,18.7,72
