QB,RB,RB,WR,WR,WR,TE,DST,FLEX,Proj
Josh Allen ($6500),Christian McCaffrey ($10000),Miles Sanders ($6300),Calvin Ridley ($6100),Terry McLaurin ($5600),DeSean Jackson ($4900),Dallas Goedert ($4100),Jaguars ($2300),Greg Ward ($4200),134.1
Lamar Jackson ($8100),Mark Ingram II ($5500),Tevin Coleman ($4200),Adam Thielen ($6700),Calvin Ridley ($6100),Marvin Jones Jr. ($5500),Mark Andrews ($6000),Chargers ($2800),Marquise Brown ($5100),134
Kirk Cousins ($5700),Dalvin Cook ($7900),Alvin Kamara ($7200),Adam Thielen ($6700),Terry McLaurin ($5600),Olabisi Johnson ($4100),Mark Andrews ($6000),Raiders ($2600),Parris Campbell ($3900),134
Carson Wentz ($6300),Christian McCaffrey ($10000),Tarik Cohen ($4900),Chris Godwin ($7100),Terry McLaurin ($5600),Marvin Jones Jr. ($5500),Dallas Goedert ($4100),Ravens ($3100),Dontrelle Inman ($3400),134
Cam Newton ($6100),Dalvin Cook ($7900),Todd Gurley II ($6100),Julian Edelman ($6000),DeVante Parker ($6000),Terry McLaurin ($5600),Mike Gesicki ($4500),Raiders ($2600),Marquise Brown ($5100),134
Matt Ryan ($6700),Josh Jacobs ($6800),Tarik Cohen ($4900),Tyler Lockett ($6500),Calvin Ridley ($6100),Odell Beckham Jr. ($5900),Hayden Hurst ($4300),Patriots ($3200),Terry McLaurin ($5600),134
Cam Newton ($6100),Miles Sanders ($6300),Matt Breida ($5000),Kenny Golladay ($6200),Julian Edelman ($6000),DeVante Parker ($6000),Zach Ertz ($5800),Chargers ($2800),T.Y. Hilton ($5800),133.9
Kirk Cousins ($5700),Miles Sanders ($6300),Todd Gurley II ($6100),Davante Adams ($7300),Adam Thielen ($6700),DeSean Jackson ($4900),Zach Ertz ($5800),Ravens ($3100),Olabisi Johnson ($4100),133.9
Dwayne Haskins Jr. ($5000),Alvin Kamara ($7200),Antonio Gibson ($4000),Julio Jones ($7700),Chris Godwin ($7100),Terry McLaurin ($5600),George Kittle ($7200),Chargers ($2800),Dontrelle Inman ($3400),133.9
Dwayne Haskins Jr. ($5000),Dalvin Cook ($7900),Miles Sanders ($6300),Chris Godwin ($7100),Tyler Lockett ($6500),Terry McLaurin ($5600),Logan Thomas ($2800),Bills ($3700),DeSean Jackson ($4900),133.9
Tyrod Taylor ($5600),Joe Mixon ($6700),Miles Sanders ($6300),Calvin Ridley ($6100),Tyler Boyd ($6100),T.Y. Hilton ($5800),Hunter Henry ($5300),Patriots ($3200),DeSean Jackson ($4900),133.8
Matthew Stafford ($6200),Christian McCaffrey ($10000),Joe Mixon ($6700),Kenny Golladay ($6200),Marvin Jones Jr. ($5500),Parris Campbell ($3900),Mark Andrews ($6000),Dolphins ($2000),Cordarrelle Patterson ($3400),133.8
Dwayne Haskins Jr. ($5000),Christian McCaffrey ($10000),Antonio Gibson ($4000),Julio Jones ($7700),Adam Thielen ($6700),Marvin Jones Jr. ($5500),Logan Thomas ($2800),Patriots ($3200),DeSean Jackson ($4900),133.8
Carson Wentz ($6300),Dalvin Cook ($7900),Chris Carson ($6200),Kenny Golladay ($6200),Terry McLaurin ($5600),Steven Sims Jr. ($4700),Mark Andrews ($6000),Bills ($3700),Dontrelle Inman ($3400),133.8
Jimmy Garoppolo ($5800),Christian McCaffrey ($10000),Dalvin Cook ($7900),Davante Adams ($7300),Olabisi Johnson ($4100),Dontrelle Inman ($3400),Robert Tonyan ($2500),Lions ($2700),Miles Sanders ($6300),133.8
Tom Brady ($6500),Christian McCaffrey ($10000),Mark Ingram II ($5500),Jarvis Landry ($5900),Marquise Brown ($5100),DeSean Jackson ($4900),Mark Andrews ($6000),Jets ($2100),Parris Campbell ($3900),133.8
Jimmy Garoppolo ($5800),Christian McCaffrey ($10000),Alvin Kamara ($7200),Adam Thielen ($6700),Marquise Brown ($5100),Christian Kirk ($5000),Jordan Reed ($3000),Lions ($2700),Larry Fitzgerald ($4500),133.7
Lamar Jackson ($8100),Chris Carson ($6200),Todd Gurley II ($6100),Davante Adams ($7300),Odell Beckham Jr. ($5900),Jarvis Landry ($5900),Logan Thomas ($2800),Raiders ($2600),Marquise Brown ($5100),133.7
Russell Wilson ($7000),Dalvin Cook ($7900),Tarik Cohen ($4900),Tyler Lockett ($6500),Calvin Ridley ($6100),DK Metcalf ($5800),Mark Andrews ($6000),Chargers ($2800),Chris Thompson ($3000),133.7
Lamar Jackson ($8100),Alvin Kamara ($7200),Miles Sanders ($6300),Julio Jones ($7700),DK Metcalf ($5800),DeSean Jackson ($4900),Hayden Hurst ($4300),Cardinals ($2100),David Moore ($3600),133.7
Cam Newton ($6100),Alvin Kamara ($7200),Matt Breida ($5000),Michael Thomas ($9000),Calvin Ridley ($6100),Preston Williams ($4500),Zach Ertz ($5800),Ravens ($3100),Damiere Byrd ($3200),133.7
Gardner Minshew II ($5800),Christian McCaffrey ($10000),Josh Jacobs ($6800),Adam Thielen ($6700),DK Metcalf ($5800),T.Y. Hilton ($5800),Tyler Eifert ($3300),Dolphins ($2000),Keelan Cole ($3800),133.7
Cam Newton ($6100),Alvin Kamara ($7200),Tarik Cohen ($4900),Michael Thomas ($9000),Chris Godwin ($7100),Mike Evans ($6900),Logan Thomas ($2800),Cardinals ($2100),Parris Campbell ($3900),133.7
Tyrod Taylor ($5600),Christian McCaffrey ($10000),J.K. Dobbins ($5000),Kenny Golladay ($6200),Terry McLaurin ($5600),Marquise Brown ($5100),Mark Andrews ($6000),Saints ($2400),Miles Boykin ($4100),133.6
Cam Newton ($6100),Christian McCaffrey ($10000),Miles Sanders ($6300),Kenny Golladay ($6200),Marvin Jones Jr. ($5500),Anthony Miller ($5000),T.J. Hockenson ($4200),Bills ($3700),Chris Thompson ($3000),133.6
Tyrod Taylor ($5600),Christian McCaffrey ($10000),Dalvin Cook ($7900),Calvin Ridley ($6100),DK Metcalf ($5800),Robby Anderson ($4700),Ian Thomas ($3400),Dolphins ($2000),Hunter Renfrow ($4500),133.6
Cam Newton ($6100),Christian McCaffrey ($10000),Alvin Kamara ($7200),Marquise Brown ($5100),Robby Anderson ($4700),Hunter Renfrow ($4500),Zach Ertz ($5800),Seahawks ($2400),Bryan Edwards ($4200),133.6
Lamar Jackson ($8100),Alvin Kamara ($7200),Matt Breida ($5000),Julian Edelman ($6000),T.Y. Hilton ($5800),Marquise Brown ($5100),Mike Gesicki ($4500),Bills ($3700),N'Keal Harry ($4400),133.5
Matthew Stafford ($6200),Dalvin Cook ($7900),Alvin Kamara ($7200),Allen Robinson II ($6500),Kenny Golladay ($6200),Calvin Ridley ($6100),Ian Thomas ($3400),Ravens ($3100),Cordarrelle Patterson ($3400),133.5
Lamar Jackson ($8100),Austin Ekeler ($7000),Kerryon Johnson ($4400),Michael Thomas ($9000),Terry McLaurin ($5600),Steven Sims Jr. ($4700),Zach Ertz ($5800),Dolphins ($2000),Dontrelle Inman ($3400),133.5
Drew Brees ($6800),Alvin Kamara ($7200),Tevin Coleman ($4200),Mike Evans ($6900),Adam Thielen ($6700),Terry McLaurin ($5600),Rob Gronkowski ($4900),Lions ($2700),DeSean Jackson ($4900),133.5
Kirk Cousins ($5700),Dalvin Cook ($7900),Joe Mixon ($6700),Davante Adams ($7300),Adam Thielen ($6700),Marvin Jones Jr. ($5500),Ian Thomas ($3400),Seahawks ($2400),N'Keal Harry ($4400),133.5
Aaron Rodgers ($6300),Dalvin Cook ($7900),Alvin Kamara ($7200),Tyler Lockett ($6500),T.Y. Hilton ($5800),DeSean Jackson ($4900),Kyle Rudolph ($3700),Chargers ($2800),Allen Lazard ($4900),133.4
Teddy Bridgewater ($5900),Christian McCaffrey ($10000),Josh Jacobs ($6800),DJ Moore ($6600),Terry McLaurin ($5600),DeSean Jackson ($4900),Chris Herndon ($3300),Dolphins ($2000),Robby Anderson ($4700),133.4
Aaron Rodgers ($6300),Chris Carson ($6200),Todd Gurley II ($6100),Davante Adams ($7300),Adam Thielen ($6700),DK Metcalf ($5800),Kyle Rudolph ($3700),Jets ($2100),Terry McLaurin ($5600),133.4
Lamar Jackson ($8100),Christian McCaffrey ($10000),Mark Ingram II ($5500),Odell Beckham Jr. ($5900),DK Metcalf ($5800),Dontrelle Inman ($3400),Mark Andrews ($6000),Cardinals ($2100),Damiere Byrd ($3200),133.4
Tyrod Taylor ($5600),Alvin Kamara ($7200),Antonio Gibson ($4000),Michael Thomas ($9000),Chris Godwin ($7100),Adam Thielen ($6700),O.J. Howard ($3700),Dolphins ($2000),Curtis Samuel ($4600),133.4
Russell Wilson ($7000),Chris Carson ($6200),Antonio Gibson ($4000),Davante Adams ($7300),Tyler Lockett ($6500),Calvin Ridley ($6100),Hayden Hurst ($4300),Lions ($2700),T.Y. Hilton ($5800),133.3
Josh Allen ($6500),Christian McCaffrey ($10000),Alvin Kamara ($7200),Davante Adams ($7300),DeSean Jackson ($4900),Marquez Valdes-Scantling ($4100),Irv Smith Jr. ($3100),Chargers ($2800),Olabisi Johnson ($4100),133.3
Cam Newton ($6100),Christian McCaffrey ($10000),Joe Mixon ($6700),Davante Adams ($7300),T.Y. Hilton ($5800),Laviska Shenault Jr. ($4400),Jack Doyle ($3600),Jets ($2100),Chris Conley ($4000),133.3
Mitchell Trubisky ($5400),Christian McCaffrey ($10000),Josh Jacobs ($6800),Allen Robinson II ($6500),Kenny Golladay ($6200),Marvin Jones Jr. ($5500),Mo Alie-Cox ($2600),Cardinals ($2100),DeSean Jackson ($4900),133.3
Drew Brees ($6800),Alvin Kamara ($7200),Joe Mixon ($6700),Michael Thomas ($9000),Adam Thielen ($6700),DK Metcalf ($5800),Josh Hill ($2800),WAS Football Team ($2000),Chris Thompson ($3000),133.3
Tom Brady ($6500),Alvin Kamara ($7200),Miles Sanders ($6300),Davante Adams ($7300),Mike Evans ($6900),DK Metcalf ($5800),Josh Hill ($2800),Chargers ($2800),N'Keal Harry ($4400),133.3
Carson Wentz ($6300),Alvin Kamara ($7200),Josh Jacobs ($6800),Chris Godwin ($7100),Odell Beckham Jr. ($5900),Marquise Brown ($5100),O.J. Howard ($3700),Lions ($2700),Ronald Jones II ($5200),133.3
Lamar Jackson ($8100),Josh Jacobs ($6800),J.K. Dobbins ($5000),Kenny Golladay ($6200),Calvin Ridley ($6100),Odell Beckham Jr. ($5900),Nick Boyle ($3300),Chargers ($2800),T.Y. Hilton ($5800),133.2
Carson Wentz ($6300),Alvin Kamara ($7200),Austin Ekeler ($7000),Adam Thielen ($6700),DeSean Jackson ($4900),Steven Sims Jr. ($4700),George Kittle ($7200),Seahawks ($2400),Dontrelle Inman ($3400),133.2
Lamar Jackson ($8100),Dalvin Cook ($7900),J.K. Dobbins ($5000),Davante Adams ($7300),Odell Beckham Jr. ($5900),N'Keal Harry ($4400),Mark Andrews ($6000),WAS Football Team ($2000),Cordarrelle Patterson ($3400),133.1
Philip Rivers ($6000),Christian McCaffrey ($10000),Chris Thompson ($4000),Chris Godwin ($7100),Adam Thielen ($6700),T.Y. Hilton ($5800),Mo Alie-Cox ($2600),Lions ($2700),DeSean Jackson ($4900),133.1
Cam Newton ($6100),Alvin Kamara ($7200),Todd Gurley II ($6100),Chris Godwin ($7100),Kenny Golladay ($6200),Tre'Quan Smith ($4000),Mark Andrews ($6000),WAS Football Team ($2000),Ronald Jones II ($5200),133.1
Jimmy Garoppolo ($5800),Mark Ingram II ($5500),J.K. Dobbins ($5000),Michael Thomas ($9000),Odell Beckham Jr. ($5900),DK Metcalf ($5800),Zach Ertz ($5800),Jets ($2100),Marquise Brown ($5100),133.1
Carson Wentz ($6300),Joe Mixon ($6700),Antonio Gibson ($4000),Julio Jones ($7700),Tyler Lockett ($6500),Marquise Brown ($5100),Zach Ertz ($5800),Patriots ($3200),Steven Sims Jr. ($4700),133.1
Tyrod Taylor ($5600),Alvin Kamara ($7200),Chris Carson ($6200),Michael Thomas ($9000),Mike Evans ($6900),DeSean Jackson ($4900),Dallas Goedert ($4100),Jets ($2100),Tre'Quan Smith ($4000),133.1
Cam Newton ($6100),Miles Sanders ($6300),James White ($6000),Davante Adams ($7300),Julian Edelman ($6000),Terry McLaurin ($5600),Mark Andrews ($6000),Jaguars ($2300),N'Keal Harry ($4400),133
Derek Carr ($5900),Christian McCaffrey ($10000),Alvin Kamara ($7200),Calvin Ridley ($6100),T.Y. Hilton ($5800),Henry Ruggs III ($5100),Irv Smith Jr. ($3100),Cardinals ($2100),Robby Anderson ($4700),133
Russell Wilson ($7000),Christian McCaffrey ($10000),Alvin Kamara ($7200),Calvin Ridley ($6100),DK Metcalf ($5800),Russell Gage ($4300),Robert Tonyan ($2500),Ravens ($3100),Antonio Gibson ($4000),133
Cam Newton ($6100),Christian McCaffrey ($10000),Matt Breida ($5000),DK Metcalf ($5800),T.Y. Hilton ($5800),Terry McLaurin ($5600),Devin Asiasi ($3500),Bills ($3700),Preston Williams ($4500),133
Lamar Jackson ($8100),Miles Sanders ($6300),J.K. Dobbins ($5000),Michael Thomas ($9000),Jarvis Landry ($5900),Marquise Brown ($5100),Ian Thomas ($3400),Lions ($2700),N'Keal Harry ($4400),133
Philip Rivers ($6000),Alvin Kamara ($7200),Miles Sanders ($6300),Julio Jones ($7700),Kenny Golladay ($6200),T.Y. Hilton ($5800),Jack Doyle ($3600),Raiders ($2600),Laviska Shenault Jr. ($4400),132.9
Drew Brees ($6800),Dalvin Cook ($7900),Joe Mixon ($6700),Davante Adams ($7300),Calvin Ridley ($6100),Odell Beckham Jr. ($5900),Irv Smith Jr. ($3100),Jets ($2100),Olabisi Johnson ($4100),132.9
Tyrod Taylor ($5600),Alvin Kamara ($7200),Joe Mixon ($6700),Davante Adams ($7300),Kenny Golladay ($6200),Jalen Guyton ($3000),Hunter Henry ($5300),Raiders ($2600),Todd Gurley II ($6100),132.9
Derek Carr ($5900),Christian McCaffrey ($10000),Todd Gurley II ($6100),Kenny Golladay ($6200),Odell Beckham Jr. ($5900),T.Y. Hilton ($5800),Ian Thomas ($3400),Jets ($2100),Hunter Renfrow ($4500),132.8
Lamar Jackson ($8100),Alvin Kamara ($7200),James White ($6000),Adam Thielen ($6700),DeVante Parker ($6000),N'Keal Harry ($4400),Zach Ertz ($5800),Raiders ($2600),Damiere Byrd ($3200),132.8
Lamar Jackson ($8100),Christian McCaffrey ($10000),Josh Jacobs ($6800),Kenny Golladay ($6200),Henry Ruggs III ($5100),Bryan Edwards ($4200),Ian Thomas ($3400),Dolphins ($2000),Tevin Coleman ($4200),132.8
Kirk Cousins ($5700),Christian McCaffrey ($10000),Dalvin Cook ($7900),Tyler Lockett ($6500),Terry McLaurin ($5600),N'Keal Harry ($4400),Irv Smith Jr. ($3100),Lions ($2700),Marquez Valdes-Scantling ($4100),132.8
Matt Ryan ($6700),Dalvin Cook ($7900),Josh Jacobs ($6800),Adam Thielen ($6700),Odell Beckham Jr. ($5900),Marquise Brown ($5100),Irv Smith Jr. ($3100),Bills ($3700),Marquez Valdes-Scantling ($4100),132.8
Drew Brees ($6800),Austin Ekeler ($7000),Joe Mixon ($6700),Julio Jones ($7700),Terry McLaurin ($5600),DeSean Jackson ($4900),Dallas Goedert ($4100),Bills ($3700),Dontrelle Inman ($3400),132.7
Jimmy Garoppolo ($5800),Miles Sanders ($6300),Todd Gurley II ($6100),DeAndre Hopkins ($6800),Adam Thielen ($6700),Marquise Brown ($5100),George Kittle ($7200),Colts ($3000),Chris Thompson ($3000),132.7
Tyrod Taylor ($5600),Dalvin Cook ($7900),Austin Ekeler ($7000),Adam Thielen ($6700),DeSean Jackson ($4900),Jalen Guyton ($3000),Mark Andrews ($6000),Dolphins ($2000),Joe Mixon ($6700),132.7
Derek Carr ($5900),Christian McCaffrey ($10000),Alvin Kamara ($7200),Terry McLaurin ($5600),Curtis Samuel ($4600),Bryan Edwards ($4200),Chris Herndon ($3300),Ravens ($3100),Todd Gurley II ($6100),132.7
Drew Brees ($6800),Alvin Kamara ($7200),Todd Gurley II ($6100),Mike Evans ($6900),Marvin Jones Jr. ($5500),Parris Campbell ($3900),Zach Ertz ($5800),Raiders ($2600),Ronald Jones II ($5200),132.7
Ryan Fitzpatrick ($5300),Christian McCaffrey ($10000),Alvin Kamara ($7200),DeVante Parker ($6000),Marquise Brown ($5100),DeSean Jackson ($4900),Mike Gesicki ($4500),Jaguars ($2300),Preston Williams ($4500),132.7
Teddy Bridgewater ($5900),Christian McCaffrey ($10000),Joe Mixon ($6700),Kenny Golladay ($6200),Terry McLaurin ($5600),Curtis Samuel ($4600),Darren Waller ($5900),Jets ($2100),Chris Thompson ($3000),132.7
Josh Allen ($6500),Dalvin Cook ($7900),Miles Sanders ($6300),Julio Jones ($7700),Adam Thielen ($6700),Allen Lazard ($4900),Robert Tonyan ($2500),Ravens ($3100),N'Keal Harry ($4400),132.7
Josh Allen ($6500),Alvin Kamara ($7200),Todd Gurley II ($6100),Tyler Lockett ($6500),Kenny Golladay ($6200),Calvin Ridley ($6100),Hayden Hurst ($4300),Chargers ($2800),Russell Gage ($4300),132.6
Lamar Jackson ($8100),Dalvin Cook ($7900),Austin Ekeler ($7000),Kenny Golladay ($6200),Anthony Miller ($5000),DeSean Jackson ($4900),T.J. Hockenson ($4200),Patriots ($3200),Cordarrelle Patterson ($3400),132.6
Matt Ryan ($6700),Dalvin Cook ($7900),Tarik Cohen ($4900),Davante Adams ($7300),Adam Thielen ($6700),DK Metcalf ($5800),Tyler Eifert ($3300),Patriots ($3200),Olabisi Johnson ($4100),132.6
Jimmy Garoppolo ($5800),Christian McCaffrey ($10000),Todd Gurley II ($6100),Kenny Golladay ($6200),Deebo Samuel ($5300),Christian Kirk ($5000),Zach Ertz ($5800),Chargers ($2800),Chris Thompson ($3000),132.6
Jimmy Garoppolo ($5800),Christian McCaffrey ($10000),Tarik Cohen ($4900),Adam Thielen ($6700),Terry McLaurin ($5600),DeSean Jackson ($4900),Zach Ertz ($5800),Seahawks ($2400),JJ Arcega-Whiteside ($3900),132.6
Teddy Bridgewater ($5900),Alvin Kamara ($7200),Todd Gurley II ($6100),Adam Thielen ($6700),DJ Moore ($6600),T.Y. Hilton ($5800),Ian Thomas ($3400),Patriots ($3200),Henry Ruggs III ($5100),132.6
Cam Newton ($6100),Alvin Kamara ($7200),Joe Mixon ($6700),Julian Edelman ($6000),DeVante Parker ($6000),Marvin Jones Jr. ($5500),George Kittle ($7200),Jets ($2100),Damiere Byrd ($3200),132.6
Aaron Rodgers ($6300),Dalvin Cook ($7900),Miles Sanders ($6300),Chris Godwin ($7100),Adam Thielen ($6700),Marquez Valdes-Scantling ($4100),Mark Andrews ($6000),Jets ($2100),Dontrelle Inman ($3400),132.6
Cam Newton ($6100),Christian McCaffrey ($10000),Josh Jacobs ($6800),Adam Thielen ($6700),DeVante Parker ($6000),Preston Williams ($4500),Irv Smith Jr. ($3100),Eagles ($3600),Damiere Byrd ($3200),132.6
Tom Brady ($6500),Christian McCaffrey ($10000),Alvin Kamara ($7200),Odell Beckham Jr. ($5900),Terry McLaurin ($5600),Tre'Quan Smith ($4000),Tyler Eifert ($3300),Falcons ($2300),Ronald Jones II ($5200),132.6
Josh Allen ($6500),Alvin Kamara ($7200),Tevin Coleman ($4200),Michael Thomas ($9000),Chris Godwin ($7100),T.Y. Hilton ($5800),Ian Thomas ($3400),Chargers ($2800),Tre'Quan Smith ($4000),132.6
Drew Brees ($6800),Miles Sanders ($6300),Ronald Jones II ($5200),Michael Thomas ($9000),Mike Evans ($6900),Kenny Golladay ($6200),Dallas Goedert ($4100),Seahawks ($2400),Chris Thompson ($3000),132.6
Carson Wentz ($6300),Alvin Kamara ($7200),Tarik Cohen ($4900),Davante Adams ($7300),Jarvis Landry ($5900),Marquise Brown ($5100),Mark Andrews ($6000),Patriots ($3200),Miles Boykin ($4100),132.5
Matt Ryan ($6700),Christian McCaffrey ($10000),Miles Sanders ($6300),Julio Jones ($7700),DK Metcalf ($5800),Russell Gage ($4300),Chris Herndon ($3300),Chargers ($2800),Chris Thompson ($3000),132.5
Tom Brady ($6500),Christian McCaffrey ($10000),Alvin Kamara ($7200),Chris Godwin ($7100),Calvin Ridley ($6100),Damiere Byrd ($3200),O.J. Howard ($3700),WAS Football Team ($2000),Tevin Coleman ($4200),132.5
Matt Ryan ($6700),Todd Gurley II ($6100),Kerryon Johnson ($4400),Julio Jones ($7700),Davante Adams ($7300),Tyler Lockett ($6500),Irv Smith Jr. ($3100),Cardinals ($2100),Calvin Ridley ($6100),132.5
Lamar Jackson ($8100),Alvin Kamara ($7200),Jerick McKinnon ($4000),Adam Thielen ($6700),Tyler Lockett ($6500),Larry Fitzgerald ($4500),George Kittle ($7200),Chargers ($2800),Chris Thompson ($3000),132.4
Cam Newton ($6100),Christian McCaffrey ($10000),James White ($6000),Davante Adams ($7300),Calvin Ridley ($6100),Preston Williams ($4500),Mike Gesicki ($4500),Cardinals ($2100),Dontrelle Inman ($3400),132.4
Lamar Jackson ($8100),Alvin Kamara ($7200),Joe Mixon ($6700),Calvin Ridley ($6100),T.Y. Hilton ($5800),Miles Boykin ($4100),Mark Andrews ($6000),Dolphins ($2000),Willie Snead IV ($4000),132.4
Mitchell Trubisky ($5400),Todd Gurley II ($6100),Antonio Gibson ($4000),Davante Adams ($7300),Chris Godwin ($7100),Allen Robinson II ($6500),T.J. Hockenson ($4200),Patriots ($3200),Kenny Golladay ($6200),132.4
Cam Newton ($6100),Miles Sanders ($6300),Mark Ingram II ($5500),Odell Beckham Jr. ($5900),Jarvis Landry ($5900),Terry McLaurin ($5600),George Kittle ($7200),Saints ($2400),Marquise Brown ($5100),132.4
Cam Newton ($6100),Miles Sanders ($6300),Ronald Jones II ($5200),Michael Thomas ($9000),Chris Godwin ($7100),Calvin Ridley ($6100),Josh Hill ($2800),Jets ($2100),Marquise Brown ($5100),132.4
Kirk Cousins ($5700),Christian McCaffrey ($10000),Miles Sanders ($6300),Davante Adams ($7300),Terry McLaurin ($5600),Allen Lazard ($4900),Kyle Rudolph ($3700),Saints ($2400),Parris Campbell ($3900),132.4
Tom Brady ($6500),Christian McCaffrey ($10000),Joe Mixon ($6700),DJ Moore ($6600),T.Y. Hilton ($5800),Robby Anderson ($4700),Ian Thomas ($3400),Seahawks ($2400),Parris Campbell ($3900),132.4
Drew Brees ($6800),Dalvin Cook ($7900),Alvin Kamara ($7200),Chris Godwin ($7100),DK Metcalf ($5800),Marquise Brown ($5100),Logan Thomas ($2800),Colts ($3000),Tre'Quan Smith ($4000),132.4
Dwayne Haskins Jr. ($5000),Alvin Kamara ($7200),Josh Jacobs ($6800),Tyler Lockett ($6500),DK Metcalf ($5800),Terry McLaurin ($5600),Zach Ertz ($5800),Ravens ($3100),Greg Ward ($4200),132.3
Josh Allen ($6500),Christian McCaffrey ($10000),Tarik Cohen ($4900),Kenny Golladay ($6200),T.Y. Hilton ($5800),Jamison Crowder ($5200),Chris Herndon ($3300),Patriots ($3200),Cole Beasley ($4800),132.3
Cam Newton ($6100),Alvin Kamara ($7200),Joe Mixon ($6700),Mike Evans ($6900),T.Y. Hilton ($5800),Marquise Brown ($5100),Jared Cook ($5500),Lions ($2700),Tre'Quan Smith ($4000),132.3
Cam Newton ($6100),Dalvin Cook ($7900),Matt Breida ($5000),Michael Thomas ($9000),DK Metcalf ($5800),DeSean Jackson ($4900),Mike Gesicki ($4500),Jaguars ($2300),N'Keal Harry ($4400),132.3
Gardner Minshew II ($5800),Dalvin Cook ($7900),Alvin Kamara ($7200),Calvin Ridley ($6100),Odell Beckham Jr. ($5900),T.Y. Hilton ($5800),Tyler Eifert ($3300),Eagles ($3600),Laviska Shenault Jr. ($4400),132.3
Derek Carr ($5900),Christian McCaffrey ($10000),Josh Jacobs ($6800),Michael Thomas ($9000),Marquise Brown ($5100),Robby Anderson ($4700),Ian Thomas ($3400),WAS Football Team ($2000),Chris Thompson ($3000),132.3
Kirk Cousins ($5700),Christian McCaffrey ($10000),Tarik Cohen ($4900),Davante Adams ($7300),Chris Godwin ($7100),Kenny Golladay ($6200),Robert Tonyan ($2500),Jets ($2100),Marquez Valdes-Scantling ($4100),132.3
Tom Brady ($6500),Alvin Kamara ($7200),Todd Gurley II ($6100),Michael Thomas ($9000),T.Y. Hilton ($5800),Emmanuel Sanders ($5700),Tyler Eifert ($3300),WAS Football Team ($2000),N'Keal Harry ($4400),132.3
Mitchell Trubisky ($5400),Christian McCaffrey ($10000),Josh Jacobs ($6800),Davante Adams ($7300),Terry McLaurin ($5600),Curtis Samuel ($4600),Ian Thomas ($3400),Seahawks ($2400),Hunter Renfrow ($4500),132.3
Cam Newton ($6100),Alvin Kamara ($7200),Tarik Cohen ($4900),Julio Jones ($7700),Davante Adams ($7300),Calvin Ridley ($6100),Jaeden Graham ($2900),WAS Football Team ($2000),DK Metcalf ($5800),132.2
Drew Brees ($6800),Dalvin Cook ($7900),J.K. Dobbins ($5000),Adam Thielen ($6700),Jarvis Landry ($5900),Marquise Brown ($5100),Mark Andrews ($6000),Eagles ($3600),Chris Thompson ($3000),132.2
Cam Newton ($6100),Alvin Kamara ($7200),Josh Jacobs ($6800),Calvin Ridley ($6100),DeVante Parker ($6000),Terry McLaurin ($5600),Devin Asiasi ($3500),Lions ($2700),James White ($6000),132.2
Carson Wentz ($6300),Ronald Jones II ($5200),Antonio Gibson ($4000),Michael Thomas ($9000),Chris Godwin ($7100),Mike Evans ($6900),Tyler Eifert ($3300),Raiders ($2600),Terry McLaurin ($5600),132.2
Matt Ryan ($6700),Dalvin Cook ($7900),Josh Jacobs ($6800),Calvin Ridley ($6100),DK Metcalf ($5800),N'Keal Harry ($4400),Zach Ertz ($5800),Cardinals ($2100),Russell Gage ($4300),132.1
Tom Brady ($6500),Christian McCaffrey ($10000),Tevin Coleman ($4200),Michael Thomas ($9000),Mike Evans ($6900),Terry McLaurin ($5600),Josh Hill ($2800),Dolphins ($2000),Chris Thompson ($3000),132.1
Aaron Rodgers ($6300),Christian McCaffrey ($10000),Dalvin Cook ($7900),Davante Adams ($7300),Adam Thielen ($6700),Damiere Byrd ($3200),Mo Alie-Cox ($2600),WAS Football Team ($2000),Ryan Nall ($4000),132.1
Carson Wentz ($6300),Christian McCaffrey ($10000),Antonio Gibson ($4000),Mike Evans ($6900),Tyler Lockett ($6500),Calvin Ridley ($6100),Logan Thomas ($2800),Bills ($3700),Dontrelle Inman ($3400),132.1
Tom Brady ($6500),Dalvin Cook ($7900),Ronald Jones II ($5200),Davante Adams ($7300),Chris Godwin ($7100),Terry McLaurin ($5600),O.J. Howard ($3700),Patriots ($3200),Cordarrelle Patterson ($3400),132.1
Tom Brady ($6500),Dalvin Cook ($7900),Alvin Kamara ($7200),Michael Thomas ($9000),Terry McLaurin ($5600),Preston Williams ($4500),Robert Tonyan ($2500),Chargers ($2800),Scotty Miller ($4000),132.1
Matt Ryan ($6700),Mark Ingram II ($5500),J.K. Dobbins ($5000),Adam Thielen ($6700),Kenny Golladay ($6200),Odell Beckham Jr. ($5900),Mark Andrews ($6000),Colts ($3000),DeSean Jackson ($4900),132.1
Lamar Jackson ($8100),Austin Ekeler ($7000),Joe Mixon ($6700),Davante Adams ($7300),A.J. Green ($5700),Terry McLaurin ($5600),Ian Thomas ($3400),Patriots ($3200),Jalen Guyton ($3000),132.1
Cam Newton ($6100),Dalvin Cook ($7900),Josh Jacobs ($6800),Adam Thielen ($6700),Kenny Golladay ($6200),Julian Edelman ($6000),Devin Asiasi ($3500),Saints ($2400),N'Keal Harry ($4400),132
Drew Brees ($6800),Todd Gurley II ($6100),Ryan Nall ($4000),Michael Thomas ($9000),Chris Godwin ($7100),T.Y. Hilton ($5800),O.J. Howard ($3700),Raiders ($2600),DeSean Jackson ($4900),132
