QB,RB,RB,WR,WR,WR,TE,DST,FLEX,Proj
Carson Wentz ($6300),Joe Mixon ($6700),Miles Sanders ($6300),Michael Thomas ($9000),Adam Thielen ($6700),Terry McLaurin ($5600),Logan Thomas ($2800),Patriots ($3200),Dontrelle Inman ($3400),137.7
Carson Wentz ($6300),Dalvin Cook ($7900),Antonio Gibson ($4000),Michael Thomas ($9000),Kenny Golladay ($6200),T.Y. Hilton ($5800),Logan Thomas ($2800),Ravens ($3100),DeSean Jackson ($4900),137.7
Russell Wilson ($7000),Joe Mixon ($6700),Miles Sanders ($6300),Kenny Golladay ($6200),Calvin Ridley ($6100),DK Metcalf ($5800),Hayden Hurst ($4300),Dolphins ($2000),Terry McLaurin ($5600),137.6
Matt Ryan ($6700),Dalvin Cook ($7900),Alvin Kamara ($7200),Julio Jones ($7700),Calvin Ridley ($6100),Marquise Brown ($5100),Hayden Hurst ($4300),Dolphins ($2000),Chris Thompson ($3000),137.6
Carson Wentz ($6300),Christian McCaffrey ($10000),Joe Mixon ($6700),Terry McLaurin ($5600),DeSean Jackson ($4900),N'Keal Harry ($4400),Mark Andrews ($6000),Cardinals ($2100),Antonio Gibson ($4000),137.6
Lamar Jackson ($8100),Christian McCaffrey ($10000),J.K. Dobbins ($5000),Adam Thielen ($6700),Odell Beckham Jr. ($5900),Marquise Brown ($5100),Chris Herndon ($3300),Dolphins ($2000),Parris Campbell ($3900),137.5
Tyrod Taylor ($5600),Christian McCaffrey ($10000),Dalvin Cook ($7900),Adam Thielen ($6700),T.Y. Hilton ($5800),Allen Lazard ($4900),Irv Smith Jr. ($3100),Jets ($2100),Parris Campbell ($3900),137.3
Aaron Rodgers ($6300),Josh Jacobs ($6800),Miles Sanders ($6300),Davante Adams ($7300),Adam Thielen ($6700),Kenny Golladay ($6200),Robert Tonyan ($2500),Cardinals ($2100),T.Y. Hilton ($5800),137.3
Drew Brees ($6800),Alvin Kamara ($7200),Antonio Gibson ($4000),Chris Godwin ($7100),Mike Evans ($6900),T.Y. Hilton ($5800),Mark Andrews ($6000),Patriots ($3200),Chris Thompson ($3000),137.2
Lamar Jackson ($8100),Alvin Kamara ($7200),Mark Ingram II ($5500),Davante Adams ($7300),Terry McLaurin ($5600),Marquise Brown ($5100),Dallas Goedert ($4100),Cardinals ($2100),J.K. Dobbins ($5000),137.1
