QB,RB,RB,WR,WR,WR,TE,DST,FLEX,Proj
Carson Wentz ($6300),Christian McCaffrey ($10000),Josh Jacobs ($6800),Kenny Golladay ($6200),Calvin Ridley ($6100),Terry McLaurin ($5600),Ian Thomas ($3400),Jets ($2100),Dontrelle Inman ($3400),139.3
Tom Brady ($6500),Dalvin Cook ($7900),Alvin Kamara ($7200),Marquise Brown ($5100),DeSean Jackson ($4900),Dontrelle Inman ($3400),Zach Ertz ($5800),Seahawks ($2400),Josh Jacobs ($6800),139.3
Lamar Jackson ($8100),Dalvin Cook ($7900),Todd Gurley II ($6100),Davante Adams ($7300),Terry McLaurin ($5600),DeSean Jackson ($4900),Logan Thomas ($2800),Patriots ($3200),Parris Campbell ($3900),139.2
Cam Newton ($6100),Christian McCaffrey ($10000),Alvin Kamara ($7200),Davante Adams ($7300),N'Keal Harry ($4400),Damiere Byrd ($3200),Ian Thomas ($3400),Jets ($2100),Miles Sanders ($6300),139.2
Matt Ryan ($6700),Dalvin Cook ($7900),Alvin Kamara ($7200),Adam Thielen ($6700),T.Y. Hilton ($5800),Parris Campbell ($3900),Irv Smith Jr. ($3100),Dolphins ($2000),Joe Mixon ($6700),139.1
Carson Wentz ($6300),Alvin Kamara ($7200),Miles Sanders ($6300),Adam Thielen ($6700),Kenny Golladay ($6200),Marvin Jones Jr. ($5500),Zach Ertz ($5800),Raiders ($2600),Dontrelle Inman ($3400),139.1
Carson Wentz ($6300),Christian McCaffrey ($10000),Antonio Gibson ($4000),Davante Adams ($7300),Adam Thielen ($6700),Calvin Ridley ($6100),Robert Tonyan ($2500),Dolphins ($2000),Marquise Brown ($5100),139
Kirk Cousins ($5700),Christian McCaffrey ($10000),Alvin Kamara ($7200),Davante Adams ($7300),Kenny Golladay ($6200),DeSean Jackson ($4900),Robert Tonyan ($2500),Chargers ($2800),Dontrelle Inman ($3400),138.9
Cam Newton ($6100),Josh Jacobs ($6800),Miles Sanders ($6300),Davante Adams ($7300),Adam Thielen ($6700),Odell Beckham Jr. ($5900),Irv Smith Jr. ($3100),Lions ($2700),Marquise Brown ($5100),138.9
Drew Brees ($6800),Alvin Kamara ($7200),Josh Jacobs ($6800),Chris Godwin ($7100),Calvin Ridley ($6100),T.Y. Hilton ($5800),Tyler Eifert ($3300),Dolphins ($2000),DeSean Jackson ($4900),138.9
Tom Brady ($6500),Alvin Kamara ($7200),Todd Gurley II ($6100),Michael Thomas ($9000),Adam Thielen ($6700),T.Y. Hilton ($5800),Jack Doyle ($3600),Jets ($2100),Chris Thompson ($3000),138.9
Jimmy Garoppolo ($5800),Christian McCaffrey ($10000),Alvin Kamara ($7200),Tyler Lockett ($6500),Calvin Ridley ($6100),T.Y. Hilton ($5800),Mo Alie-Cox ($2600),Jets ($2100),Parris Campbell ($3900),138.8
Tom Brady ($6500),Christian McCaffrey ($10000),Miles Sanders ($6300),Kenny Golladay ($6200),Terry McLaurin ($5600),Marvin Jones Jr. ($5500),Logan Thomas ($2800),Cardinals ($2100),DeSean Jackson ($4900),138.8
Carson Wentz ($6300),Alvin Kamara ($7200),Antonio Gibson ($4000),Michael Thomas ($9000),Davante Adams ($7300),Odell Beckham Jr. ($5900),Mo Alie-Cox ($2600),Jets ($2100),Terry McLaurin ($5600),138.8
Drew Brees ($6800),Alvin Kamara ($7200),Todd Gurley II ($6100),Michael Thomas ($9000),Terry McLaurin ($5600),DeSean Jackson ($4900),Chris Herndon ($3300),Lions ($2700),N'Keal Harry ($4400),138.7
Lamar Jackson ($8100),Christian McCaffrey ($10000),Antonio Gibson ($4000),Kenny Golladay ($6200),Marquise Brown ($5100),DeSean Jackson ($4900),Mark Andrews ($6000),Seahawks ($2400),Damiere Byrd ($3200),138.6
Jimmy Garoppolo ($5800),Joe Mixon ($6700),Miles Sanders ($6300),Davante Adams ($7300),Adam Thielen ($6700),DeSean Jackson ($4900),George Kittle ($7200),Jets ($2100),Chris Thompson ($3000),138.6
Lamar Jackson ($8100),Josh Jacobs ($6800),Joe Mixon ($6700),Kenny Golladay ($6200),Odell Beckham Jr. ($5900),T.Y. Hilton ($5800),Tyler Eifert ($3300),Cardinals ($2100),Marquise Brown ($5100),138.5
Tyrod Taylor ($5600),Alvin Kamara ($7200),Joe Mixon ($6700),Davante Adams ($7300),Adam Thielen ($6700),Marquise Brown ($5100),Tyler Eifert ($3300),Patriots ($3200),Allen Lazard ($4900),138.4
Kirk Cousins ($5700),Miles Sanders ($6300),Todd Gurley II ($6100),Adam Thielen ($6700),Calvin Ridley ($6100),Terry McLaurin ($5600),Zach Ertz ($5800),Chargers ($2800),DeSean Jackson ($4900),138.4
Josh Allen ($6500),Alvin Kamara ($7200),Ronald Jones II ($5200),Michael Thomas ($9000),DK Metcalf ($5800),T.Y. Hilton ($5800),Chris Herndon ($3300),Cardinals ($2100),Marquise Brown ($5100),138.3
Jimmy Garoppolo ($5800),Christian McCaffrey ($10000),Todd Gurley II ($6100),Kenny Golladay ($6200),Terry McLaurin ($5600),Chris Thompson ($3000),George Kittle ($7200),Dolphins ($2000),Antonio Gibson ($4000),138.1
