QB,RB,RB,WR,WR,WR,TE,DST,FLEX,PROJ,ACTUAL
Patrick Mahomes,Christian McCaffrey,Austin Ekeler,Larry Fitzgerald,Emmanuel Sanders,Nelson Agholor,Zach Ertz,New England Patriots,T.J. Hockenson,151.07,143.86
Patrick Mahomes,Christian McCaffrey,Miles Sanders,Keenan Allen,Sammy Watkins,Nelson Agholor,Mark Andrews,Dallas Cowboys,Phillip Dorsett,148.81,192.26
Dak Prescott,Christian McCaffrey,Chris Carson,Keenan Allen,Larry Fitzgerald,Christian Kirk,Greg Olsen,New England Patriots,Phillip Lindsay,147.45,204.94
Matt Ryan,Austin Ekeler,Chris Carson,Julio Jones,Keenan Allen,Larry Fitzgerald,Austin Hooper,Dallas Cowboys,Nelson Agholor,147.39,198.16
Patrick Mahomes,Chris Carson,Phillip Lindsay,Julian Edelman,Larry Fitzgerald,Emmanuel Sanders,Travis Kelce,Dallas Cowboys,Mark Andrews,146.71,134.06
Dak Prescott,Austin Ekeler,David Johnson,Julian Edelman,Marvin Jones,Nelson Agholor,Zach Ertz,Dallas Cowboys,Mark Andrews,146.35,152.34
Jameis Winston,Austin Ekeler,David Johnson,Keenan Allen,Mike Evans,Nelson Agholor,Evan Engram,New England Patriots,Phillip Lindsay,146.27,251.0
Kyle Allen,Austin Ekeler,Chris Carson,DeAndre Hopkins,Keenan Allen,Will Fuller,Mark Andrews,New England Patriots,Emmanuel Sanders,146.05,136.34
Patrick Mahomes,Chris Carson,Devonta Freeman,Keenan Allen,Julian Edelman,Josh Gordon,Zach Ertz,New England Patriots,Phillip Dorsett,146.04,171.46
Lamar Jackson,Austin Ekeler,Phillip Lindsay,Julio Jones,Sammy Watkins,Larry Fitzgerald,Mark Andrews,New England Patriots,Miles Sanders,145.82,153.28
Matt Ryan,Christian McCaffrey,David Johnson,Julio Jones,Calvin Ridley,Nelson Agholor,Mark Andrews,New England Patriots,Darren Waller,145.57,179.76
Jameis Winston,Christian McCaffrey,Austin Ekeler,Sterling Shepard,Emmanuel Sanders,Phillip Dorsett,Evan Engram,Dallas Cowboys,Chris Carson,145.09,170.3
