QB,RB,RB,WR,WR,WR,TE,DST,FLEX,PROJ,ACTUAL
Patrick Mahomes,Christian McCaffrey,James Conner,Julio Jones,Mohamed Sanu,Courtland Sutton,Austin Hooper,New York Giants,Josh Jacobs,147.64,119.92
Carson Wentz,Alvin Kamara,Josh Jacobs,Keenan Allen,Julio Jones,Calvin Ridley,Mark Andrews,Houston Texans,Devin Singletary,147.38,162.24
Josh Allen,Christian McCaffrey,Alvin Kamara,Keenan Allen,Julio Jones,Travis Benjamin,Darren Waller,Cincinnati Bengals,T.J. Hockenson,147.27,96.92
Lamar Jackson,Christian McCaffrey,Alvin Kamara,Julio Jones,Courtland Sutton,Keesean Johnson,Mark Andrews,New England Patriots,Delanie Walker,147.26,165.98
Carson Wentz,Austin Ekeler,Devonta Freeman,Odell Beckham Jr,Julio Jones,Calvin Ridley,Evan Engram,New England Patriots,Delanie Walker,147.25,198.14
Tom Brady,Nick Chubb,Devin Singletary,Julio Jones,Sammy Watkins,Courtland Sutton,Travis Kelce,New England Patriots,Darren Waller,147.02,181.66
Matt Ryan,Alvin Kamara,Josh Jacobs,JuJu Smith-Schuster,Julio Jones,Sammy Watkins,Delanie Walker,Pittsburgh Steelers,Austin Hooper,146.89,119.2
Jared Goff,Christian McCaffrey,Devonta Freeman,Michael Thomas,Julio Jones,Ted Ginn,Darren Waller,New England Patriots,Adrian Peterson,146.79,146.82
Patrick Mahomes,Matt Breida,Josh Jacobs,Julio Jones,Sammy Watkins,D.K. Metcalf,Travis Kelce,Denver Broncos,Mark Andrews,146.77,175.22
Josh Allen,Christian McCaffrey,Josh Jacobs,Sammy Watkins,Christian Kirk,Tyrell Williams,Travis Kelce,New England Patriots,Delanie Walker,146.4,157.92
Patrick Mahomes,Saquon Barkley,Devin Singletary,Keenan Allen,Julio Jones,Danny Amendola,Delanie Walker,New England Patriots,T.J. Hockenson,146.34,167.82
Tom Brady,Christian McCaffrey,Alvin Kamara,Julio Jones,Calvin Ridley,Jamison Crowder,Austin Hooper,Indianapolis Colts,Adrian Peterson,146.22,128.66
Derek Carr,Saquon Barkley,Josh Jacobs,Davante Adams,Julio Jones,Sammy Watkins,Darren Waller,New York Giants,T.J. Hockenson,146.2,125.22
Matt Ryan,James Conner,Austin Ekeler,JuJu Smith-Schuster,Julio Jones,Calvin Ridley,Darren Waller,Cincinnati Bengals,Matt Breida,146.17,161.9
Ben Roethlisberger,Nick Chubb,Austin Ekeler,JuJu Smith-Schuster,Julio Jones,Tyler Lockett,Mark Andrews,New England Patriots,Adrian Peterson,146.17,185.4
Jared Goff,Alvin Kamara,Josh Jacobs,Michael Thomas,Julio Jones,Brandin Cooks,T.J. Hockenson,Denver Broncos,Chris Thompson,146.11,115.92
Lamar Jackson,Alvin Kamara,Chris Carson,Julio Jones,Larry Fitzgerald,Christian Kirk,Darren Waller,Houston Texans,Nick Chubb,146.0,163.08
Carson Wentz,Nick Chubb,Josh Jacobs,DeAndre Hopkins,Julio Jones,Tyrell Williams,Zach Ertz,Carolina Panthers,Delanie Walker,145.98,135.54
Josh Allen,Christian McCaffrey,Chris Carson,Julio Jones,Jamison Crowder,Cole Beasley,Evan Engram,New England Patriots,Devin Singletary,145.88,150.62
Dak Prescott,Christian McCaffrey,Austin Ekeler,Julio Jones,Michael Gallup,Terry McLaurin,Darren Waller,Pittsburgh Steelers,Damien Williams,145.79,148.76
Patrick Mahomes,Duke Johnson,Josh Jacobs,Julio Jones,Robert Woods,Calvin Ridley,Zach Ertz,Cincinnati Bengals,Evan Engram,145.75,138.92
Patrick Mahomes,Christian McCaffrey,Damien Williams,JuJu Smith-Schuster,Larry Fitzgerald,Tyrell Williams,Darren Waller,New York Giants,Devonta Freeman,145.66,122.62
Patrick Mahomes,Christian McCaffrey,Austin Ekeler,Allen Robinson,Emmanuel Sanders,Courtland Sutton,Evan Engram,New England Patriots,T.J. Hockenson,145.49,161.62
Lamar Jackson,Saquon Barkley,James Conner,Julio Jones,Larry Fitzgerald,Tyrell Williams,Mark Andrews,Indianapolis Colts,Josh Jacobs,145.31,180.58
Cam Newton,Christian McCaffrey,Austin Ekeler,Julio Jones,John Brown,Curtis Samuel,Greg Olsen,New England Patriots,Chris Thompson,145.3,173.12
Matt Ryan,James Conner,Damien Williams,Keenan Allen,Julio Jones,Tyrell Williams,Evan Engram,New England Patriots,Austin Hooper,145.25,166.4
Patrick Mahomes,Christian McCaffrey,Nick Chubb,DeAndre Hopkins,John Brown,Ryan Grant,Darren Waller,Pittsburgh Steelers,Josh Jacobs,145.23,115.92
Carson Wentz,Alvin Kamara,Adrian Peterson,Julio Jones,Sammy Watkins,Christian Kirk,Zach Ertz,New England Patriots,T.J. Hockenson,145.16,155.54
Matt Ryan,Christian McCaffrey,Austin Ekeler,Keenan Allen,Sammy Watkins,Tyrell Williams,Darren Waller,Indianapolis Colts,Adrian Peterson,145.06,129.5
Jared Goff,James Conner,Nick Chubb,Julio Jones,Robert Woods,Cooper Kupp,Darren Waller,Cleveland Browns,Josh Jacobs,145.05,146.02
Patrick Mahomes,Alvin Kamara,James Conner,Julio Jones,John Brown,Cole Beasley,Evan Engram,Indianapolis Colts,Delanie Walker,145.02,136.92
Tom Brady,Alvin Kamara,Nick Chubb,Julio Jones,DeSean Jackson,Mohamed Sanu,T.J. Hockenson,Pittsburgh Steelers,Austin Ekeler,144.9,120.66
Patrick Mahomes,Nick Chubb,Austin Ekeler,Keenan Allen,Larry Fitzgerald,Tyrell Williams,Travis Kelce,Houston Texans,Delanie Walker,144.86,176.12
Patrick Mahomes,Devonta Freeman,Duke Johnson,Keenan Allen,Julio Jones,Christian Kirk,Travis Kelce,Indianapolis Colts,Darren Waller,144.83,160.92
Baker Mayfield,Christian McCaffrey,Damien Williams,Odell Beckham Jr,Julio Jones,Jamison Crowder,Delanie Walker,New York Giants,T.J. Hockenson,144.68,116.2
Deshaun Watson,Chris Carson,Austin Ekeler,DeAndre Hopkins,Julio Jones,Will Fuller,T.J. Hockenson,Indianapolis Colts,Josh Jacobs,144.66,112.06
Patrick Mahomes,Christian McCaffrey,Duke Johnson,Julio Jones,D.J. Moore,Curtis Samuel,OJ Howard,Denver Broncos,T.J. Hockenson,144.56,111.52
Patrick Mahomes,Austin Ekeler,Devin Singletary,DeAndre Hopkins,JuJu Smith-Schuster,Sammy Watkins,Darren Waller,Denver Broncos,T.J. Hockenson,144.47,119.92
Patrick Mahomes,Nick Chubb,Matt Breida,Michael Thomas,Julio Jones,Mecole Hardman,Evan Engram,New York Giants,Darren Waller,144.46,163.32
Jared Goff,Alvin Kamara,Austin Ekeler,Julio Jones,Robert Woods,Ted Ginn,Delanie Walker,Houston Texans,Damien Williams,144.46,114.72
Josh Allen,Saquon Barkley,Austin Ekeler,Julio Jones,Calvin Ridley,Tyrell Williams,Zach Ertz,New York Giants,Chris Thompson,144.45,175.02
Ben Roethlisberger,Damien Williams,Matt Breida,DeAndre Hopkins,Julio Jones,Tyrell Williams,Travis Kelce,Houston Texans,Darren Waller,144.45,133.0
Patrick Mahomes,James Conner,Josh Jacobs,Keenan Allen,Sammy Watkins,Larry Fitzgerald,Evan Engram,Carolina Panthers,Darren Waller,144.44,135.22
Patrick Mahomes,Nick Chubb,Josh Jacobs,Julio Jones,Tyler Boyd,John Ross,George Kittle,Indianapolis Colts,Chris Thompson,144.39,168.82
Kyler Murray,Dalvin Cook,Josh Jacobs,DeAndre Hopkins,Julio Jones,Christian Kirk,Evan Engram,New England Patriots,Mark Andrews,144.28,196.36
Carson Wentz,Chris Carson,Matt Breida,Michael Thomas,Julio Jones,John Brown,Austin Hooper,New England Patriots,Josh Jacobs,144.24,165.44
Matt Ryan,Austin Ekeler,Devonta Freeman,Michael Thomas,Julio Jones,DeSean Jackson,Mark Andrews,Carolina Panthers,Josh Jacobs,144.2,152.4
Matt Ryan,Christian McCaffrey,James White,DeAndre Hopkins,Julio Jones,Christian Kirk,Darren Waller,Carolina Panthers,Austin Hooper,144.16,130.0
Dak Prescott,Alvin Kamara,Nick Chubb,Davante Adams,Julio Jones,Terry McLaurin,Vernon Davis,Cincinnati Bengals,Josh Jacobs,144.14,137.66
Patrick Mahomes,Christian McCaffrey,Damien Williams,Julio Jones,D.K. Metcalf,James Washington,Vance McDonald,New England Patriots,Tarik Cohen,144.11,165.82
Patrick Mahomes,Christian McCaffrey,Josh Jacobs,Robert Woods,Brandin Cooks,Cooper Kupp,Mark Andrews,Houston Texans,T.J. Hockenson,144.09,136.12
Patrick Mahomes,Alvin Kamara,Nick Chubb,Sammy Watkins,Calvin Ridley,Ryan Grant,Evan Engram,New England Patriots,Mark Andrews,144.07,177.62
Matt Ryan,Alvin Kamara,Devonta Freeman,Davante Adams,Julio Jones,Mohamed Sanu,Evan Engram,Denver Broncos,Darren Waller,144.06,122.4
Cam Newton,Christian McCaffrey,Josh Jacobs,Julio Jones,Mike Evans,Jamison Crowder,OJ Howard,Pittsburgh Steelers,Mark Andrews,144.04,116.42
Deshaun Watson,Saquon Barkley,Chris Carson,Julio Jones,Calvin Ridley,Mohamed Sanu,Mark Andrews,New England Patriots,Darren Waller,144.01,190.26
Derek Carr,Alvin Kamara,Matt Breida,Julio Jones,Sammy Watkins,Tyrell Williams,Evan Engram,Cleveland Browns,Devin Singletary,143.99,128.52
Jared Goff,Damien Williams,Josh Jacobs,JuJu Smith-Schuster,Julio Jones,Mohamed Sanu,Zach Ertz,New England Patriots,Devin Singletary,143.96,154.12
Carson Wentz,Christian McCaffrey,Matt Breida,Julio Jones,Jamison Crowder,Courtland Sutton,Zach Ertz,Cleveland Browns,Darren Waller,143.81,133.14
Matt Ryan,Christian McCaffrey,Dalvin Cook,Julio Jones,Mohamed Sanu,Tyrell Williams,Delanie Walker,Cincinnati Bengals,Duke Johnson,143.8,124.3
Patrick Mahomes,Alvin Kamara,Damien Williams,Julio Jones,Larry Fitzgerald,Ryan Grant,Travis Kelce,Carolina Panthers,T.J. Hockenson,143.71,135.42
Carson Wentz,Le'Veon Bell,Chris Carson,Julio Jones,Sammy Watkins,Tyrell Williams,Darren Waller,Pittsburgh Steelers,Duke Johnson,143.7,131.64
Josh Allen,Le'Veon Bell,Josh Jacobs,DeAndre Hopkins,Julio Jones,DeSean Jackson,Darren Waller,Denver Broncos,Calvin Ridley,143.68,134.42
Patrick Mahomes,Saquon Barkley,Nick Chubb,Davante Adams,Calvin Ridley,Tyrell Williams,Darren Waller,Indianapolis Colts,Devin Singletary,143.66,173.62
Josh Allen,Christian McCaffrey,Nick Chubb,Julio Jones,T.Y. Hilton,A.J. Brown,Delanie Walker,Indianapolis Colts,Devonta Freeman,143.66,122.02
Patrick Mahomes,Devonta Freeman,Chris Thompson,DeAndre Hopkins,Julio Jones,Larry Fitzgerald,Zach Ertz,New England Patriots,Austin Hooper,143.61,174.72
Ben Roethlisberger,Christian McCaffrey,Alvin Kamara,Julio Jones,Tyrell Williams,Donte Moncrief,Vance McDonald,Carolina Panthers,Chris Thompson,143.59,102.4
Matt Ryan,David Johnson,Josh Jacobs,Odell Beckham Jr,Julio Jones,John Ross,Zach Ertz,Houston Texans,Darren Waller,143.44,168.8
Trevor Siemian,Christian McCaffrey,Josh Jacobs,Odell Beckham Jr,Julio Jones,Sammy Watkins,David Njoku,Cincinnati Bengals,Adrian Peterson,143.44,99.12
Patrick Mahomes,Nick Chubb,James White,Odell Beckham Jr,Julio Jones,Jamison Crowder,David Njoku,Houston Texans,Duke Johnson,143.43,150.12
Tom Brady,Alvin Kamara,Damien Williams,Julio Jones,Julian Edelman,Phillip Dorsett,Evan Engram,New York Giants,Josh Jacobs,143.41,109.66
Tom Brady,Christian McCaffrey,Josh Jacobs,Davante Adams,Stefon Diggs,Marquez Valdes-Scantling,Mark Andrews,New England Patriots,Darren Waller,143.34,155.76
Carson Wentz,Christian McCaffrey,Austin Ekeler,Michael Thomas,Calvin Ridley,Mohamed Sanu,Darren Waller,Jacksonville Jaguars,Josh Jacobs,143.31,133.34
Cam Newton,Nick Chubb,Austin Ekeler,DeAndre Hopkins,Julio Jones,D.J. Moore,OJ Howard,Jacksonville Jaguars,Darren Waller,143.31,137.22
Carson Wentz,Christian McCaffrey,Nick Chubb,Julio Jones,Christian Kirk,Mohamed Sanu,Evan Engram,New York Jets,Chris Thompson,143.3,129.14
Derek Carr,David Johnson,Josh Jacobs,JuJu Smith-Schuster,Julio Jones,Tyrell Williams,Travis Kelce,Cincinnati Bengals,Chris Thompson,143.24,124.42
Patrick Mahomes,Chris Carson,Austin Ekeler,JuJu Smith-Schuster,Julio Jones,D.K. Metcalf,Delanie Walker,Cleveland Browns,Donte Moncrief,143.19,150.62
Patrick Mahomes,Chris Carson,Matt Breida,JuJu Smith-Schuster,Calvin Ridley,Tyrell Williams,Travis Kelce,New England Patriots,T.J. Hockenson,143.15,185.42
Patrick Mahomes,James Conner,Austin Ekeler,Julio Jones,DeSean Jackson,Terry McLaurin,Zach Ertz,Houston Texans,Adrian Peterson,143.11,159.62
Patrick Mahomes,Saquon Barkley,Josh Jacobs,JuJu Smith-Schuster,Sammy Watkins,Tyrell Williams,Greg Olsen,Houston Texans,Adrian Peterson,143.04,152.12
Derek Carr,Christian McCaffrey,Alvin Kamara,Sammy Watkins,John Brown,Larry Fitzgerald,Darren Waller,New England Patriots,Austin Hooper,143.03,126.22
Cam Newton,James Conner,Duke Johnson,Julio Jones,Chris Godwin,D.J. Moore,Delanie Walker,New England Patriots,Josh Jacobs,142.99,164.32
Jared Goff,Nick Chubb,Austin Ekeler,Michael Thomas,Brandin Cooks,Tyrell Williams,Evan Engram,New England Patriots,Devin Singletary,142.91,174.82
Patrick Mahomes,Christian McCaffrey,Alvin Kamara,Larry Fitzgerald,Corey Davis,A.J. Brown,Delanie Walker,Cleveland Browns,Josh Jacobs,142.9,111.42
Patrick Mahomes,Alvin Kamara,Chris Carson,Sammy Watkins,Tyrell Williams,Courtland Sutton,Delanie Walker,Denver Broncos,Damien Williams,142.9,105.32
Matt Ryan,Nick Chubb,Austin Ekeler,Davante Adams,Julio Jones,Alshon Jeffery,Delanie Walker,New York Giants,Devin Singletary,142.88,142.0
Tom Brady,Christian McCaffrey,Kenyan Drake,Julio Jones,John Ross,Tyrell Williams,George Kittle,New England Patriots,Tyler Eifert,142.86,167.46
Josh Allen,James Conner,Austin Ekeler,Davante Adams,Julio Jones,Stefon Diggs,Jimmy Graham,New England Patriots,T.J. Hockenson,142.86,160.82
Patrick Mahomes,Christian McCaffrey,Josh Jacobs,Odell Beckham Jr,Michael Gallup,Terry McLaurin,Vernon Davis,New England Patriots,Devin Singletary,142.83,168.52
Josh Allen,Alvin Kamara,Nick Chubb,Julio Jones,Alshon Jeffery,Emmanuel Sanders,Austin Hooper,New England Patriots,Duke Johnson,142.81,155.92
Deshaun Watson,Christian McCaffrey,Chris Thompson,DeAndre Hopkins,Dede Westbrook,Tyrell Williams,Evan Engram,New England Patriots,Darren Waller,142.74,116.26
Matthew Stafford,James Conner,Matt Breida,Odell Beckham Jr,Keenan Allen,Julio Jones,T.J. Hockenson,Pittsburgh Steelers,Josh Jacobs,142.69,145.9
Matt Ryan,Christian McCaffrey,Matt Breida,Julio Jones,Alshon Jeffery,Terry McLaurin,Evan Engram,Houston Texans,Mark Andrews,142.68,146.4
Carson Wentz,Saquon Barkley,Austin Ekeler,Julio Jones,Alshon Jeffery,John Brown,Darren Waller,Denver Broncos,Adrian Peterson,142.66,138.64
Lamar Jackson,Austin Ekeler,Josh Jacobs,Odell Beckham Jr,Julio Jones,Christian Kirk,Travis Kelce,New York Giants,Keesean Johnson,142.65,184.98
Ben Roethlisberger,Christian McCaffrey,Devonta Freeman,Julio Jones,Calvin Ridley,John Ross,Zach Ertz,Pittsburgh Steelers,Devin Singletary,142.62,137.9
Ben Roethlisberger,Austin Ekeler,Josh Jacobs,Keenan Allen,Julio Jones,D.J. Moore,Zach Ertz,Cleveland Browns,Austin Hooper,142.59,141.1
Patrick Mahomes,Alvin Kamara,Nick Chubb,JuJu Smith-Schuster,Tyler Lockett,D.K. Metcalf,T.J. Hockenson,Jacksonville Jaguars,Josh Jacobs,142.57,128.42
Derek Carr,Austin Ekeler,James White,Michael Thomas,Julio Jones,Larry Fitzgerald,Travis Kelce,Cleveland Browns,Darren Waller,142.56,167.82
Josh Allen,Alvin Kamara,James Conner,Michael Thomas,Sammy Watkins,Tyrell Williams,Mark Andrews,Houston Texans,Darren Waller,142.48,138.62
Tom Brady,Christian McCaffrey,James Conner,Julio Jones,Marvin Jones,Danny Amendola,Evan Engram,Carolina Panthers,T.J. Hockenson,142.43,103.86
Matt Ryan,Alvin Kamara,Austin Ekeler,Julio Jones,Larry Fitzgerald,Courtland Sutton,Zach Ertz,Indianapolis Colts,Tarik Cohen,142.42,140.1
Andy Dalton,Christian McCaffrey,Austin Ekeler,JuJu Smith-Schuster,Tyler Boyd,John Ross,Delanie Walker,New England Patriots,Darren Waller,142.37,174.24
Patrick Mahomes,Damien Williams,Duke Johnson,Odell Beckham Jr,Sammy Watkins,Brandin Cooks,Darren Waller,New England Patriots,Adrian Peterson,142.33,166.42
Patrick Mahomes,Leonard Fournette,Nick Chubb,Michael Thomas,Cooper Kupp,Ted Ginn,Delanie Walker,New England Patriots,Josh Jacobs,142.3,162.42
Jared Goff,Austin Ekeler,Tarik Cohen,Julio Jones,Sammy Watkins,Tyrell Williams,Travis Kelce,Carolina Panthers,Miles Sanders,142.25,145.42
Carson Wentz,Christian McCaffrey,Damien Williams,Julio Jones,John Brown,Calvin Ridley,Vernon Davis,Cincinnati Bengals,James White,142.21,123.54
Josh Allen,Christian McCaffrey,Alvin Kamara,John Brown,Calvin Ridley,Tyrell Williams,Evan Engram,Denver Broncos,Tarik Cohen,142.21,110.12
Baker Mayfield,Christian McCaffrey,Austin Ekeler,DeAndre Hopkins,Jamison Crowder,Larry Fitzgerald,David Njoku,Houston Texans,Josh Jacobs,142.16,105.9
Patrick Mahomes,Christian McCaffrey,Alvin Kamara,Julio Jones,Devante Parker,Preston Williams,Mike Gesicki,Jacksonville Jaguars,Devonta Freeman,142.09,110.32
Carson Wentz,Derrick Henry,Damien Williams,Davante Adams,Julio Jones,DeSean Jackson,Darren Waller,New England Patriots,Chris Thompson,142.09,156.14
Deshaun Watson,Christian McCaffrey,Nick Chubb,Keenan Allen,Christian Kirk,Danny Amendola,T.J. Hockenson,Denver Broncos,Austin Ekeler,142.09,105.16
Jared Goff,Christian McCaffrey,Kenyan Drake,Julio Jones,Brandin Cooks,Cooper Kupp,Delanie Walker,Carolina Panthers,Devin Singletary,142.02,130.62
Josh Allen,Christian McCaffrey,Austin Ekeler,Keenan Allen,DeSean Jackson,Calvin Ridley,Mark Andrews,New England Patriots,Austin Hooper,141.98,171.72
Jared Goff,Christian McCaffrey,Nick Chubb,Julio Jones,Allen Robinson,Keesean Johnson,Zach Ertz,Cincinnati Bengals,Austin Hooper,141.96,114.62
Cam Newton,Alvin Kamara,Damien Williams,Julio Jones,Calvin Ridley,Emmanuel Sanders,Zach Ertz,Green Bay Packers,Darren Waller,141.95,159.32
Tom Brady,James Conner,Nick Chubb,Julio Jones,Julian Edelman,Josh Gordon,Mark Andrews,Houston Texans,Chris Thompson,141.92,149.96
Aaron Rodgers,Christian McCaffrey,Josh Jacobs,Davante Adams,Julio Jones,Tyrell Williams,Kyle Rudolph,Jacksonville Jaguars,Devin Singletary,141.91,122.96
Patrick Mahomes,Christian McCaffrey,Duke Johnson,Sammy Watkins,John Brown,Tyrell Williams,Mark Andrews,Cleveland Browns,Kenyan Drake,141.9,137.72
Kyler Murray,Christian McCaffrey,Le'Veon Bell,Julio Jones,Larry Fitzgerald,Keesean Johnson,Darren Waller,Jacksonville Jaguars,James Conner,141.9,137.46
Matt Ryan,Le'Veon Bell,Austin Ekeler,Julio Jones,Sammy Watkins,Mohamed Sanu,Vernon Davis,New England Patriots,Kenyan Drake,141.88,171.1
Deshaun Watson,Dalvin Cook,Josh Jacobs,Odell Beckham Jr,Julio Jones,Calvin Ridley,Austin Hooper,Chicago Bears,Tyrell Williams,141.8,171.06
Deshaun Watson,Christian McCaffrey,Nick Chubb,Julio Jones,Emmanuel Sanders,Courtland Sutton,Noah Fant,Houston Texans,Damien Williams,141.8,133.26
Patrick Mahomes,Saquon Barkley,Le'Veon Bell,Julio Jones,Courtland Sutton,Ryan Grant,Darren Waller,Cincinnati Bengals,James White,141.8,144.62
Jared Goff,Saquon Barkley,Austin Ekeler,Julio Jones,Tyler Lockett,D.K. Metcalf,Vance McDonald,Pittsburgh Steelers,Josh Jacobs,141.78,173.22
Tom Brady,Le'Veon Bell,Austin Ekeler,Keenan Allen,JuJu Smith-Schuster,Travis Benjamin,T.J. Hockenson,New England Patriots,Josh Jacobs,141.76,150.66
Patrick Mahomes,Christian McCaffrey,James Conner,Calvin Ridley,Tyrell Williams,Ryan Grant,OJ Howard,Carolina Panthers,Austin Ekeler,141.74,130.62
Carson Wentz,Alvin Kamara,James Conner,Odell Beckham Jr,Julio Jones,Terry McLaurin,Darren Waller,Dallas Cowboys,Austin Hooper,141.74,139.64
Patrick Mahomes,Chris Carson,Nick Chubb,Julio Jones,Mike Evans,Devante Parker,OJ Howard,New England Patriots,Greg Olsen,141.72,163.82
Josh Allen,Alvin Kamara,Austin Ekeler,Julio Jones,Mike Evans,D.J. Moore,Greg Olsen,Denver Broncos,Devin Singletary,141.71,144.82
Patrick Mahomes,Christian McCaffrey,Devonta Freeman,Jarvis Landry,Robby Anderson,Jamison Crowder,Evan Engram,Denver Broncos,Josh Jacobs,141.7,100.32
Deshaun Watson,Alvin Kamara,Leonard Fournette,DeAndre Hopkins,Julio Jones,Chris Conley,Delanie Walker,New York Giants,Darren Waller,141.7,105.66
Patrick Mahomes,Christian McCaffrey,James Conner,Jamison Crowder,John Ross,Terry McLaurin,Travis Kelce,Cincinnati Bengals,Darren Waller,141.66,142.82
Cam Newton,Dalvin Cook,Nick Chubb,JuJu Smith-Schuster,Julio Jones,Donte Moncrief,Vance McDonald,Denver Broncos,Josh Jacobs,141.65,143.92
Patrick Mahomes,Christian McCaffrey,Saquon Barkley,Marquise Brown,Christian Kirk,Keesean Johnson,Darren Waller,New England Patriots,Kenyan Drake,141.63,170.62
Jameis Winston,Christian McCaffrey,Derrick Henry,Julio Jones,D.J. Moore,Christian Kirk,Greg Olsen,Houston Texans,Josh Jacobs,141.62,146.72
Matt Ryan,Christian McCaffrey,Chris Thompson,JuJu Smith-Schuster,Julio Jones,Preston Williams,Zach Ertz,Denver Broncos,Adrian Peterson,141.6,126.2
Trevor Siemian,Christian McCaffrey,Nick Chubb,Julio Jones,Jarvis Landry,Jamison Crowder,Vernon Davis,Carolina Panthers,Austin Ekeler,141.6,108.22
Patrick Mahomes,Dalvin Cook,David Johnson,Julio Jones,Tyrell Williams,Ryan Grant,Mark Andrews,Houston Texans,Chris Carson,141.58,171.02
Baker Mayfield,Nick Chubb,Josh Jacobs,Odell Beckham Jr,JuJu Smith-Schuster,Jamison Crowder,Evan Engram,New England Patriots,Chris Thompson,141.56,159.1
Jared Goff,Christian McCaffrey,Austin Ekeler,Robert Woods,Brandin Cooks,Larry Fitzgerald,Darren Waller,Denver Broncos,Matt Breida,141.54,123.42
Ben Roethlisberger,Alvin Kamara,Josh Jacobs,Sammy Watkins,D.J. Moore,Calvin Ridley,Travis Kelce,Cincinnati Bengals,Darren Waller,141.53,113.2
Carson Wentz,Christian McCaffrey,Chris Carson,Julio Jones,DeSean Jackson,Larry Fitzgerald,Delanie Walker,Green Bay Packers,Adrian Peterson,141.52,117.64
Patrick Mahomes,Saquon Barkley,Matt Breida,Julio Jones,DeSean Jackson,Tyrell Williams,Austin Hooper,Jacksonville Jaguars,Duke Johnson,141.5,143.02
Philip Rivers,Christian McCaffrey,Alvin Kamara,Odell Beckham Jr,Tyrell Williams,Danny Amendola,T.J. Hockenson,Indianapolis Colts,Josh Jacobs,141.5,89.52
Kyler Murray,Christian McCaffrey,Nick Chubb,JuJu Smith-Schuster,Sammy Watkins,Keesean Johnson,Mark Andrews,New York Giants,Josh Jacobs,141.46,116.96
Marcus Mariota,Christian McCaffrey,Austin Ekeler,Julio Jones,Corey Davis,A.J. Brown,Evan Engram,New York Giants,Derrick Henry,141.44,118.06
Patrick Mahomes,Chris Carson,Josh Jacobs,Michael Thomas,Josh Gordon,Courtland Sutton,Travis Kelce,Houston Texans,Darren Waller,141.42,136.02
Patrick Mahomes,Le'Veon Bell,Austin Ekeler,Davante Adams,Sammy Watkins,Ryan Grant,Delanie Walker,Indianapolis Colts,Josh Jacobs,141.41,136.92
Patrick Mahomes,Nick Chubb,Kenyan Drake,Keenan Allen,Julio Jones,Mohamed Sanu,Zach Ertz,Jacksonville Jaguars,Mark Andrews,141.4,172.62
Carson Wentz,Nick Chubb,James White,Davante Adams,Julio Jones,Sammy Watkins,Mark Andrews,Cleveland Browns,Austin Hooper,141.39,161.94
Tom Brady,Christian McCaffrey,Nick Chubb,JuJu Smith-Schuster,Julian Edelman,Devante Parker,Darren Waller,Cleveland Browns,T.J. Hockenson,141.38,101.36
Patrick Mahomes,Christian McCaffrey,Nick Chubb,Josh Gordon,Mecole Hardman,Tyrell Williams,Austin Hooper,New England Patriots,James White,141.36,154.62
Tom Brady,Christian McCaffrey,Austin Ekeler,Odell Beckham Jr,John Brown,Cole Beasley,Evan Engram,Cincinnati Bengals,Darren Waller,141.35,134.96
Carson Wentz,James Conner,Nick Chubb,Michael Thomas,Julio Jones,Calvin Ridley,OJ Howard,Pittsburgh Steelers,Adrian Peterson,141.33,148.04
