QB,RB,RB,WR,WR,WR,TE,DST,FLEX,PROJ,ACTUAL
Patrick Mahomes,Alvin Kamara,Austin Ekeler,Julio Jones,Jamison Crowder,Tyrell Williams,Darren Waller,New England Patriots,Josh Jacobs,156.72,180.32
Matt Ryan,Christian McCaffrey,Nick Chubb,Julio Jones,Calvin Ridley,Larry Fitzgerald,T.J. Hockenson,New England Patriots,Josh Jacobs,152.85,177.3
Patrick Mahomes,Christian McCaffrey,Chris Thompson,Julio Jones,Sammy Watkins,Calvin Ridley,Delanie Walker,Houston Texans,Darren Waller,151.6,152.22
Patrick Mahomes,Christian McCaffrey,Austin Ekeler,Julio Jones,Larry Fitzgerald,Christian Kirk,Mark Andrews,Cincinnati Bengals,Devin Singletary,149.88,174.52
Josh Allen,Nick Chubb,Austin Ekeler,Julio Jones,Sammy Watkins,John Brown,Evan Engram,Houston Texans,Josh Jacobs,149.84,152.72
Carson Wentz,Christian McCaffrey,Austin Ekeler,JuJu Smith-Schuster,Julio Jones,Tyrell Williams,Austin Hooper,Houston Texans,T.J. Hockenson,149.42,129.84
Derek Carr,Christian McCaffrey,Nick Chubb,Odell Beckham Jr,Julio Jones,Tyrell Williams,Mark Andrews,Denver Broncos,Darren Waller,149.06,157.62
Patrick Mahomes,James Conner,Nick Chubb,Julio Jones,Sammy Watkins,Tyrell Williams,T.J. Hockenson,Cincinnati Bengals,Devonta Freeman,149.02,135.12
Ben Roethlisberger,Christian McCaffrey,Josh Jacobs,JuJu Smith-Schuster,Julio Jones,D.K. Metcalf,Evan Engram,Indianapolis Colts,Darren Waller,148.94,107.4
Tom Brady,Christian McCaffrey,Austin Ekeler,Julio Jones,Josh Gordon,Devante Parker,Delanie Walker,Denver Broncos,Josh Jacobs,148.8,109.56
Patrick Mahomes,Nick Chubb,Austin Ekeler,Julio Jones,Brandin Cooks,Calvin Ridley,Austin Hooper,Denver Broncos,Damien Williams,147.83,171.42
Patrick Mahomes,Christian McCaffrey,Adrian Peterson,Julio Jones,Tyrell Williams,Keesean Johnson,Travis Kelce,Pittsburgh Steelers,Evan Engram,147.74,150.92
