QB,RB,RB,WR,WR,WR,TE,DST,FLEX,PROJ,ACTUAL
Deshaun Watson,Alvin Kamara,Devonta Freeman,Michael Thomas,DeAndre Hopkins,Kenny Stills,Darren Waller,Indianapolis Colts,Bilal Powell,137.63,156.18
Lamar Jackson,Christian McCaffrey,Alvin Kamara,Chris Godwin,Kenny Stills,Parris Campbell,Jack Doyle,Baltimore Ravens,Bilal Powell,136.9,100.2
Jameis Winston,Christian McCaffrey,Alvin Kamara,Jamison Crowder,Robby Anderson,Kenny Stills,Mike Gesicki,Los Angeles Chargers,Devonta Freeman,135.96,136.34
Ryan Tannehill,Christian McCaffrey,Alvin Kamara,D.J. Moore,Curtis Samuel,Kenny Stills,Ian Thomas,Indianapolis Colts,Melvin Gordon,135.46,131.54
Derek Carr,Christian McCaffrey,Alvin Kamara,Davante Adams,Corey Davis,Kenny Stills,Darren Waller,Cincinnati Bengals,Patrick Laird,134.75,98.08
Kyler Murray,Christian McCaffrey,Alvin Kamara,Jamison Crowder,Christian Kirk,Diontae Johnson,Travis Kelce,Indianapolis Colts,Bilal Powell,134.47,133.96
Lamar Jackson,Christian McCaffrey,Alvin Kamara,Mike Williams,Chris Conley,Corey Davis,Hunter Henry,Indianapolis Colts,Devonta Freeman,134.35,116.3
Jameis Winston,Alvin Kamara,Melvin Gordon,Michael Thomas,Christian Kirk,Kenny Stills,George Kittle,Baltimore Ravens,Jared Cook,134.26,168.64
Jameis Winston,Leonard Fournette,Alvin Kamara,Davante Adams,Christian Kirk,Parris Campbell,Jack Doyle,Indianapolis Colts,Devonta Freeman,134.15,121.64
Sam Darnold,Alvin Kamara,Melvin Gordon,Davante Adams,Jamison Crowder,Robby Anderson,Darren Waller,Baltimore Ravens,Bilal Powell,133.96,118.9
Deshaun Watson,Christian McCaffrey,Alvin Kamara,Tyler Boyd,Christian Kirk,Kenny Stills,Noah Fant,Green Bay Packers,Duke Johnson,133.93,136.58
Lamar Jackson,Alvin Kamara,Devonta Freeman,Jarvis Landry,Odell Beckham Jr,Auden Tate,George Kittle,Green Bay Packers,Bilal Powell,133.79,104.1
Deshaun Watson,Christian McCaffrey,Kenyan Drake,DeAndre Hopkins,Auden Tate,Kenny Stills,George Kittle,Baltimore Ravens,Patrick Laird,133.62,139.18
Lamar Jackson,Leonard Fournette,Alvin Kamara,DeAndre Hopkins,Jamison Crowder,Kenny Stills,George Kittle,Cincinnati Bengals,Noah Fant,133.6,123.3
Deshaun Watson,Christian McCaffrey,Leonard Fournette,Davante Adams,Jamison Crowder,Kenny Stills,Darren Fells,Washington Redskins,Bilal Powell,133.27,100.68
Jameis Winston,Alvin Kamara,Duke Johnson,Michael Thomas,Mike Evans,D.J. Moore,Jack Doyle,Cincinnati Bengals,Bilal Powell,133.19,137.64
Ryan Tannehill,Christian McCaffrey,Alvin Kamara,Jamison Crowder,Tyrell Williams,Corey Davis,George Kittle,Baltimore Ravens,Duke Johnson,133.05,119.34
Gardner Minshew,Christian McCaffrey,Alvin Kamara,Keenan Allen,Mike Williams,Kenny Stills,George Kittle,Kansas City Chiefs,LeSean McCoy,133.06,107.78
Matt Ryan,Alvin Kamara,Devonta Freeman,Davante Adams,Chris Godwin,D.J. Moore,Ian Thomas,Oakland Raiders,Bilal Powell,133.04,112.82
Deshaun Watson,Leonard Fournette,Alvin Kamara,Courtland Sutton,Robby Anderson,Kenny Stills,Travis Kelce,Baltimore Ravens,LeSean McCoy,132.98,119.28
Lamar Jackson,Alvin Kamara,Melvin Gordon,Julian Edelman,Kenny Stills,Jakobi Meyers,Travis Kelce,New York Jets,Devonta Freeman,132.83,121.5
Jameis Winston,Leonard Fournette,Alvin Kamara,Chris Godwin,Mike Evans,Kenny Stills,Ian Thomas,Green Bay Packers,Patrick Laird,132.8,125.64
Jameis Winston,Christian McCaffrey,Alvin Kamara,Jarvis Landry,Tyler Boyd,Auden Tate,Ian Thomas,Baltimore Ravens,LeSean McCoy,132.76,130.94
Ryan Tannehill,Leonard Fournette,Alvin Kamara,D.J. Moore,Christian Kirk,Corey Davis,Darren Waller,Green Bay Packers,Bilal Powell,132.67,112.54
Deshaun Watson,Alvin Kamara,Devonta Freeman,Chris Godwin,Mike Evans,Jamison Crowder,Jack Doyle,Tampa Bay Buccaneers,LeSean McCoy,132.66,103.88
Lamar Jackson,Leonard Fournette,Alvin Kamara,Devante Parker,Tyler Boyd,Robby Anderson,Mike Gesicki,Indianapolis Colts,Bilal Powell,132.58,106.9
Kyler Murray,Christian McCaffrey,Devonta Freeman,Christian Kirk,Larry Fitzgerald,Kenny Stills,George Kittle,New York Jets,Darren Waller,132.57,116.46
Aaron Rodgers,Christian McCaffrey,Devonta Freeman,Mike Evans,Zach Pascal,Kenny Stills,Jack Doyle,Indianapolis Colts,Patrick Laird,132.49,120.9
Drew Brees,Alvin Kamara,Patrick Laird,Michael Thomas,Davante Adams,Mike Williams,George Kittle,Indianapolis Colts,Duke Johnson,132.44,158.96
Andy Dalton,Christian McCaffrey,Alvin Kamara,Odell Beckham Jr,Robby Anderson,Auden Tate,Darren Waller,Indianapolis Colts,Duke Johnson,132.4,112.68
Aaron Rodgers,Alvin Kamara,Devonta Freeman,Davante Adams,Terry McLaurin,Kenny Stills,George Kittle,Carolina Panthers,Kenyan Drake,132.37,91.1
Jameis Winston,Alvin Kamara,Devonta Freeman,Chris Godwin,Zach Pascal,Mike Williams,Darren Waller,Baltimore Ravens,Kenyan Drake,132.34,149.14
Lamar Jackson,Christian McCaffrey,Alvin Kamara,Devante Parker,Jamison Crowder,Demaryius Thomas,Ian Thomas,Washington Redskins,Kenyan Drake,132.18,107.5
Derek Carr,Christian McCaffrey,Devonta Freeman,Michael Thomas,Jamison Crowder,Parris Campbell,George Kittle,Indianapolis Colts,Jared Cook,132.06,157.68
Jameis Winston,Christian McCaffrey,Duke Johnson,DeAndre Hopkins,Courtland Sutton,Kenny Stills,Travis Kelce,Kansas City Chiefs,Bilal Powell,131.96,153.94
Lamar Jackson,Christian McCaffrey,Devonta Freeman,DeAndre Hopkins,Tyler Boyd,Kenny Stills,Darren Fells,Tampa Bay Buccaneers,LeSean McCoy,131.95,119.4
Gardner Minshew,Christian McCaffrey,Melvin Gordon,Michael Thomas,Chris Conley,Kenny Stills,Hunter Henry,New York Jets,Bilal Powell,131.9,122.08
Lamar Jackson,Alvin Kamara,Devonta Freeman,D.J. Moore,Calvin Ridley,Curtis Samuel,Darren Waller,Washington Redskins,Patrick Laird,131.89,116.2
Aaron Rodgers,Alvin Kamara,Phillip Lindsay,Michael Thomas,Keenan Allen,Mike Williams,Hunter Henry,Baltimore Ravens,Bilal Powell,131.86,125.9
Aaron Rodgers,Christian McCaffrey,Alvin Kamara,DeAndre Hopkins,Robby Anderson,Demaryius Thomas,Ryan Griffin,Cincinnati Bengals,Bilal Powell,131.85,129.9
Kyle Allen,Christian McCaffrey,Duke Johnson,Michael Thomas,Davante Adams,Curtis Samuel,Ian Thomas,Baltimore Ravens,Bilal Powell,131.82,140.32
