QB,RB,RB,WR,WR,WR,TE,DST,FLEX,PROJ,ACTUAL
Jameis Winston,Alvin Kamara,Devin Singletary,Michael Thomas,Devante Parker,Demaryius Thomas,Jared Cook,New Orleans Saints,Greg Olsen,131.67,148.62
Russell Wilson,Alvin Kamara,Le'Veon Bell,Michael Thomas,Cole Beasley,Tim Patrick,Dawson Knox,Buffalo Bills,David Montgomery,131.65,117.7
Matt Ryan,Miles Sanders,Brian Hill,Michael Thomas,Jamison Crowder,Hunter Renfrow,Darren Waller,Detroit Lions,Sony Michel,131.63,89.54
Matt Ryan,Alvin Kamara,Bo Scarbrough,Michael Thomas,Calvin Ridley,N'Keal Harry,Zach Ertz,Philadelphia Eagles,OJ Howard,131.57,136.84
Jameis Winston,David Montgomery,Phillip Lindsay,Michael Thomas,Julio Jones,Russell Gage,Darren Waller,Jacksonville Jaguars,Mike Gesicki,131.57,118.62
Matt Ryan,Alvin Kamara,Devin Singletary,Mike Evans,Calvin Ridley,Taylor Gabriel,Benjamin Watson,Chicago Bears,Brian Hill,131.57,87.84
Carson Wentz,Alvin Kamara,James White,Michael Thomas,Julio Jones,Anthony Miller,Jacob Hollister,Cincinnati Bengals,Dallas Goedert,131.55,107.04
Baker Mayfield,Alvin Kamara,Derrick Henry,Michael Thomas,Mike Evans,Allen Hurns,Benjamin Watson,Jacksonville Jaguars,Albert Wilson,131.55,142.28
Ryan Fitzpatrick,Derrick Henry,David Montgomery,Michael Thomas,Odell Beckham Jr,Devante Parker,Zach Ertz,Cincinnati Bengals,Tim Patrick,131.48,161.66
Sam Darnold,Le'Veon Bell,James White,Michael Thomas,Devante Parker,Demaryius Thomas,Zach Ertz,Philadelphia Eagles,Darren Waller,131.35,141.5
Russell Wilson,Alvin Kamara,James White,Michael Thomas,D.J. Moore,Russell Gage,Greg Olsen,Philadelphia Eagles,Vance McDonald,131.3,132.2
Drew Brees,Phillip Lindsay,Miles Sanders,Michael Thomas,Mike Evans,Devante Parker,Greg Olsen,Detroit Lions,Taylor Gabriel,131.27,119.34
Ryan Fitzpatrick,Alvin Kamara,Miles Sanders,Michael Thomas,Odell Beckham Jr,Tyler Boyd,Mike Gesicki,Tampa Bay Buccaneers,Brian Hill,131.24,161.96
Jameis Winston,Brian Hill,Kalen Ballage,Michael Thomas,Mike Evans,Calvin Ridley,Darren Waller,Seattle Seahawks,Tim Patrick,131.22,124.12
Matt Ryan,Leonard Fournette,Le'Veon Bell,Michael Thomas,Jamison Crowder,Demaryius Thomas,Ryan Griffin,Seattle Seahawks,Allen Hurns,131.18,140.94
Matt Ryan,Devin Singletary,James White,Michael Thomas,Calvin Ridley,D.J. Chark,Dawson Knox,Buffalo Bills,Russell Gage,131.18,119.54
Matt Ryan,Alvin Kamara,Le'Veon Bell,Mike Evans,Chris Godwin,N'Keal Harry,Dawson Knox,Detroit Lions,Tarik Cohen,131.15,125.54
Matt Ryan,Saquon Barkley,David Montgomery,Julio Jones,Mike Evans,Tim Patrick,Zach Ertz,Philadelphia Eagles,Benjamin Watson,131.12,82.94
Jameis Winston,Le'Veon Bell,David Montgomery,Michael Thomas,Tyler Boyd,James Washington,Vance McDonald,Chicago Bears,James White,131.04,127.22
Jameis Winston,Alvin Kamara,James White,Julio Jones,Mike Evans,Demaryius Thomas,Mike Gesicki,Buffalo Bills,Kalen Ballage,131.0,102.82
