QB,RB,RB,WR,WR,WR,TE,DST,FLEX,PROJ,ACTUAL
Patrick Mahomes,Christian McCaffrey,Adrian Peterson,Keenan Allen,Kenny Golladay,Emmanuel Sanders,Noah Fant,Los Angeles Chargers,Courtland Sutton,142.38,155.9
Matthew Stafford,Marlon Mack,Phillip Lindsay,Keenan Allen,Cooper Kupp,Chris Godwin,T.J. Hockenson,Los Angeles Chargers,Kenny Golladay,142.35,165.64
Russell Wilson,Austin Ekeler,Kerryon Johnson,DeAndre Hopkins,Cooper Kupp,Will Fuller,Greg Olsen,Los Angeles Chargers,Will Dissly,142.2,138.7
Patrick Mahomes,Chris Carson,Wayne Gallman,Julio Jones,Keenan Allen,Kenny Golladay,T.J. Hockenson,Los Angeles Rams,Mohamed Sanu,142.14,149.9
Patrick Mahomes,Derrick Henry,Devonta Freeman,Keenan Allen,Tyler Lockett,D.K. Metcalf,Evan Engram,Minnesota Vikings,Keesean Johnson,142.07,89.6
Philip Rivers,David Johnson,Nick Chubb,DeAndre Hopkins,Keenan Allen,Curtis Samuel,Austin Hooper,Chicago Bears,Dontrelle Inman,142.06,166.4
Patrick Mahomes,Christian McCaffrey,Chris Thompson,Keenan Allen,Demarcus Robinson,Mecole Hardman,Darren Waller,Denver Broncos,Deon Cain,142.0,101.4
Philip Rivers,Christian McCaffrey,Josh Jacobs,Keenan Allen,Kenny Golladay,Marvin Jones,Evan Engram,Carolina Panthers,Dontrelle Inman,141.93,150.3
Patrick Mahomes,David Johnson,Devonta Freeman,Keenan Allen,Cooper Kupp,Marvin Jones,OJ Howard,Tampa Bay Buccaneers,Demarcus Robinson,141.88,140.1
Russell Wilson,Christian McCaffrey,Marlon Mack,Keenan Allen,Tyler Lockett,Sterling Shepard,Vernon Davis,Atlanta Falcons,Trey Quinn,141.79,92.4
Philip Rivers,Christian McCaffrey,Phillip Lindsay,Keenan Allen,Sterling Shepard,Preston Williams,Darren Waller,Los Angeles Rams,Paul Richardson,141.76,122.3
Russell Wilson,Nick Chubb,Wayne Gallman,Keenan Allen,Cooper Kupp,Brandin Cooks,OJ Howard,Chicago Bears,Christian Kirk,141.64,169.8
Patrick Mahomes,Leonard Fournette,Kenyan Drake,Tyler Lockett,Larry Fitzgerald,Christian Kirk,Travis Kelce,Atlanta Falcons,Darren Waller,141.6,115.7
Lamar Jackson,Christian McCaffrey,Kerryon Johnson,Keenan Allen,Tyler Lockett,Preston Williams,Mark Andrews,Houston Texans,Dontrelle Inman,141.56,143.28
Patrick Mahomes,Austin Ekeler,Chris Thompson,Cooper Kupp,Robert Woods,Kenny Golladay,Darren Waller,Atlanta Falcons,T.J. Hockenson,141.44,170.2
Philip Rivers,Marlon Mack,Kerryon Johnson,Julio Jones,Keenan Allen,Preston Williams,Evan Engram,Denver Broncos,Austin Hooper,141.37,114.1
Patrick Mahomes,Austin Ekeler,Marlon Mack,Sammy Watkins,Larry Fitzgerald,D.K. Metcalf,Austin Hooper,Chicago Bears,Will Dissly,141.27,133.5
Matt Ryan,David Johnson,Kerryon Johnson,Keenan Allen,Cooper Kupp,Robert Woods,Austin Hooper,Carolina Panthers,Calvin Ridley,141.24,178.58
Russell Wilson,Christian McCaffrey,Devonta Freeman,Keenan Allen,Tyrell Williams,Christian Kirk,Darren Waller,Carolina Panthers,Eric Ebron,141.2,135.0
Case Keenum,Nick Chubb,Chris Carson,Julio Jones,Keenan Allen,Calvin Ridley,Evan Engram,Los Angeles Chargers,Trey Quinn,141.16,112.98
Patrick Mahomes,Chris Thompson,Carlos Hyde,Keenan Allen,Brandin Cooks,Chris Godwin,Travis Kelce,Seattle Seahawks,T.J. Hockenson,141.15,151.7
Patrick Mahomes,Austin Ekeler,Chris Thompson,DeAndre Hopkins,Tyler Lockett,Christian Kirk,Greg Olsen,Tampa Bay Buccaneers,Curtis Samuel,141.15,109.5
Patrick Mahomes,Devonta Freeman,Kenyan Drake,DeAndre Hopkins,Sammy Watkins,Paul Richardson,Travis Kelce,Carolina Panthers,Evan Engram,141.15,108.1
Deshaun Watson,Austin Ekeler,James White,DeAndre Hopkins,Curtis Samuel,Paul Richardson,Evan Engram,Los Angeles Chargers,Darren Waller,141.13,107.1
Patrick Mahomes,Austin Ekeler,Phillip Lindsay,Sterling Shepard,D.J. Moore,Will Fuller,Evan Engram,Los Angeles Rams,Greg Olsen,141.12,104.7
Patrick Mahomes,Nick Chubb,David Montgomery,Keenan Allen,Kenny Golladay,Demarcus Robinson,Evan Engram,Cleveland Browns,Preston Williams,141.12,142.0
Russell Wilson,James White,Wayne Gallman,Keenan Allen,Tyler Lockett,Kenny Golladay,Travis Kelce,Carolina Panthers,D.K. Metcalf,141.1,130.6
