QB,RB,RB,WR,WR,WR,TE,DST,FLEX,PROJ,ACTUAL
Russell Wilson,Christian McCaffrey,Aaron Jones,Chris Godwin,D.J. Moore,Jarvis Landry,Cameron Brate,Kansas City Chiefs,Jaylen Samuels,139.79,159.12
Russell Wilson,Le'Veon Bell,Phillip Lindsay,Tyler Lockett,Chris Godwin,Curtis Samuel,Jack Doyle,Buffalo Bills,Jaylen Samuels,137.73,190.52
Russell Wilson,Aaron Jones,Mark Walton,Tyler Lockett,Mike Evans,Keenan Allen,Greg Olsen,Carolina Panthers,Jaylen Samuels,136.92,180.72
Philip Rivers,Christian McCaffrey,Aaron Jones,Keenan Allen,Mike Williams,Devante Parker,Zach Ertz,Buffalo Bills,Jaylen Samuels,136.35,152.86
Jameis Winston,Nick Chubb,Derrick Henry,Tyler Lockett,Chris Godwin,Jarvis Landry,Zach Ertz,Carolina Panthers,Jaylen Samuels,136.31,196.0
Philip Rivers,Le'Veon Bell,Nick Chubb,Chris Godwin,Mike Evans,Keenan Allen,Cameron Brate,Washington Redskins,Jaylen Samuels,135.27,127.16
Derek Carr,Nick Chubb,Aaron Jones,Chris Godwin,Danny Amendola,Cole Beasley,Darren Waller,Buffalo Bills,Jaylen Samuels,135.12,101.16
Russell Wilson,Christian McCaffrey,Nick Chubb,Devante Parker,Preston Williams,Demaryius Thomas,Hunter Henry,Carolina Panthers,Jaylen Samuels,134.61,186.42
Jameis Winston,Christian McCaffrey,Le'Veon Bell,Allen Robinson,D.J. Moore,Curtis Samuel,Greg Olsen,Carolina Panthers,Jaylen Samuels,134.61,161.3
Jameis Winston,Aaron Jones,Phillip Lindsay,Chris Godwin,Mike Evans,Preston Williams,Hunter Henry,Denver Broncos,Jaylen Samuels,134.57,159.1
Russell Wilson,Nick Chubb,Aaron Jones,Mike Evans,Curtis Samuel,Preston Williams,Cameron Brate,Buffalo Bills,Austin Ekeler,134.31,160.12
Philip Rivers,Christian McCaffrey,Phillip Lindsay,Tyler Lockett,Chris Godwin,Devante Parker,Cameron Brate,Carolina Panthers,Mark Walton,134.31,158.46
