QB,RB,RB,WR,WR,WR,TE,DST,FLEX,PROJ,ACTUAL
Jameis Winston,Alvin Kamara,Brian Hill,Michael Thomas,Mike Evans,Devante Parker,Eric Ebron,Arizona Cardinals,Miles Sanders,145.48,130.02
Lamar Jackson,Brian Hill,Miles Sanders,Michael Thomas,Julio Jones,D.J. Moore,Greg Olsen,Washington Redskins,Raheem Mostert,142.77,125.28
Jameis Winston,Josh Jacobs,Tevin Coleman,Michael Thomas,D.J. Moore,Deebo Samuel,OJ Howard,New Orleans Saints,Miles Sanders,140.8,142.42
Lamar Jackson,Alvin Kamara,Josh Jacobs,D.J. Moore,Calvin Ridley,Curtis Samuel,Darren Waller,Arizona Cardinals,Miles Sanders,140.13,151.98
Jameis Winston,Christian McCaffrey,Dalvin Cook,D.J. Moore,Tyler Boyd,Russell Gage,Greg Olsen,Arizona Cardinals,Miles Sanders,139.31,118.72
Deshaun Watson,Josh Jacobs,Brian Hill,Michael Thomas,Tyler Boyd,Auden Tate,Darren Waller,Atlanta Falcons,Miles Sanders,138.85,113.46
Lamar Jackson,Christian McCaffrey,Miles Sanders,Michael Thomas,Kenny Stills,Deebo Samuel,Zach Ertz,Arizona Cardinals,Nick Boyle,138.59,159.48
Kyle Allen,Dalvin Cook,Alvin Kamara,Julio Jones,D.J. Moore,Deebo Samuel,Eric Ebron,Oakland Raiders,Miles Sanders,138.53,134.6
Lamar Jackson,Josh Jacobs,Brian Hill,Mike Evans,Chris Godwin,Deebo Samuel,Jared Cook,Minnesota Vikings,Miles Sanders,138.28,125.98
Dak Prescott,Josh Jacobs,Brian Hill,Michael Thomas,D.J. Moore,Calvin Ridley,Eric Ebron,Minnesota Vikings,Russell Gage,137.79,149.86
Deshaun Watson,Alvin Kamara,Kalen Ballage,Michael Thomas,DeAndre Hopkins,Deebo Samuel,Jordan Akins,Washington Redskins,Miles Sanders,137.69,122.86
Jameis Winston,Alvin Kamara,Josh Jacobs,Julio Jones,D.J. Moore,Devante Parker,Zach Ertz,Washington Redskins,Russell Gage,137.38,145.72
Lamar Jackson,Josh Jacobs,Phillip Lindsay,Michael Thomas,D.J. Chark,Dede Westbrook,Eric Ebron,Detroit Lions,Miles Sanders,137.38,141.08
Dak Prescott,Josh Jacobs,Joe Mixon,Michael Thomas,Julio Jones,Randall Cobb,T.J. Hockenson,Arizona Cardinals,Miles Sanders,137.35,150.16
Deshaun Watson,Christian McCaffrey,Miles Sanders,Michael Thomas,D.J. Moore,Devante Parker,Dawson Knox,Detroit Lions,Allen Hurns,137.06,133.66
Jameis Winston,Kenyan Drake,Kalen Ballage,Michael Thomas,Julio Jones,Chris Godwin,Dallas Goedert,Detroit Lions,Miles Sanders,137.05,123.62
Jameis Winston,Dalvin Cook,Brian Hill,Julio Jones,Calvin Ridley,Curtis Samuel,Jack Doyle,Minnesota Vikings,Miles Sanders,137.02,106.52
Deshaun Watson,Dalvin Cook,Brian Hill,Michael Thomas,D.J. Moore,Curtis Samuel,Jaeden Graham,Arizona Cardinals,Deebo Samuel,136.84,113.56
Lamar Jackson,Dalvin Cook,Brian Hill,DeAndre Hopkins,Tyler Boyd,Kenny Stills,Eric Ebron,New Orleans Saints,Miles Sanders,136.73,108.38
Jameis Winston,Dalvin Cook,Miles Sanders,Michael Thomas,Dede Westbrook,Demaryius Thomas,Zach Ertz,Washington Redskins,Jared Cook,136.67,123.92
Kyle Allen,Alvin Kamara,Josh Jacobs,Michael Thomas,Jamison Crowder,Russell Gage,Greg Olsen,New England Patriots,Miles Sanders,136.59,132.9
Jameis Winston,Christian McCaffrey,Alvin Kamara,Auden Tate,Deebo Samuel,Hunter Renfrow,Darren Waller,Minnesota Vikings,Miles Sanders,136.53,146.02
Deshaun Watson,Leonard Fournette,Miles Sanders,Michael Thomas,Calvin Ridley,Curtis Samuel,Greg Olsen,New Orleans Saints,Eric Ebron,136.53,125.96
Jameis Winston,Josh Jacobs,Kalen Ballage,Michael Thomas,Mike Evans,Tyler Boyd,Greg Olsen,Washington Redskins,Irv Smith Jr.,136.38,119.92
Dak Prescott,Christian McCaffrey,Miles Sanders,Michael Thomas,Tyler Boyd,Hunter Renfrow,Eric Ebron,Washington Redskins,Tyler Eifert,136.25,133.16
Kyle Allen,Joe Mixon,Miles Sanders,Michael Thomas,Mike Evans,D.J. Moore,Irv Smith Jr.,Minnesota Vikings,Curtis Samuel,136.19,115.0
Dak Prescott,Le'Veon Bell,Brian Hill,Michael Thomas,Amari Cooper,Deebo Samuel,Jason Witten,Detroit Lions,Miles Sanders,136.1,130.16
Jameis Winston,Leonard Fournette,Miles Sanders,Mike Evans,Chris Godwin,D.J. Moore,Zach Ertz,Miami Dolphins,Raheem Mostert,136.1,108.42
Jameis Winston,Christian McCaffrey,Josh Jacobs,Jamison Crowder,Terry McLaurin,Demaryius Thomas,Eric Ebron,Indianapolis Colts,Miles Sanders,136.07,130.62
Deshaun Watson,Alvin Kamara,Josh Jacobs,Julio Jones,Calvin Ridley,Deebo Samuel,Greg Olsen,Indianapolis Colts,Brian Hill,136.03,139.46
Lamar Jackson,Alvin Kamara,Joe Mixon,Michael Thomas,Terry McLaurin,Demaryius Thomas,Ryan Griffin,New Orleans Saints,Miles Sanders,135.96,167.58
Jameis Winston,Joe Mixon,Brian Hill,Michael Thomas,Chris Godwin,Deebo Samuel,Darren Waller,Washington Redskins,Noah Fant,135.9,137.32
Deshaun Watson,Dalvin Cook,Josh Jacobs,Chris Godwin,D.J. Moore,Kenny Stills,Nick Boyle,Washington Redskins,Miles Sanders,135.77,93.66
Kyle Allen,Leonard Fournette,Josh Jacobs,Julio Jones,Mike Evans,D.J. Moore,Nick Boyle,Arizona Cardinals,Brian Hill,135.77,99.7
Lamar Jackson,Christian McCaffrey,Miles Sanders,Julio Jones,Calvin Ridley,Devante Parker,Eric Ebron,New York Jets,Russell Gage,135.6,162.98
Lamar Jackson,Josh Jacobs,Tevin Coleman,Michael Thomas,John Brown,Allen Hurns,Mike Gesicki,Arizona Cardinals,Brian Hill,135.43,149.38
Tom Brady,Leonard Fournette,Devin Singletary,Michael Thomas,D.J. Moore,Mohamed Sanu,Dallas Goedert,Arizona Cardinals,Miles Sanders,135.35,103.54
Jameis Winston,Josh Jacobs,Brian Hill,DeAndre Hopkins,Julian Edelman,Mohamed Sanu,Zach Ertz,Detroit Lions,Miles Sanders,135.28,101.22
Jameis Winston,Dalvin Cook,Raheem Mostert,Michael Thomas,Mike Evans,Deebo Samuel,Dallas Goedert,Minnesota Vikings,Russell Gage,135.27,128.72
Lamar Jackson,Christian McCaffrey,Brian Hill,Mike Evans,Tyler Boyd,Hunter Renfrow,Darren Waller,Arizona Cardinals,Raheem Mostert,135.26,117.48
Lamar Jackson,Dalvin Cook,Leonard Fournette,John Brown,Devante Parker,Deebo Samuel,Mike Gesicki,Washington Redskins,Miles Sanders,135.2,165.28
Tom Brady,Josh Jacobs,Kenyan Drake,Michael Thomas,Devante Parker,Phillip Dorsett,Zach Ertz,Minnesota Vikings,Miles Sanders,135.2,133.24
Dak Prescott,Christian McCaffrey,Alvin Kamara,D.J. Moore,Dede Westbrook,Randall Cobb,Jason Witten,New Orleans Saints,Miles Sanders,135.14,171.06
Jameis Winston,Leonard Fournette,Brian Hill,Michael Thomas,D.J. Moore,Tyler Boyd,Jared Cook,Detroit Lions,Mike Gesicki,135.14,103.32
Lamar Jackson,Tevin Coleman,Miles Sanders,DeAndre Hopkins,Mike Evans,D.J. Moore,Nick Boyle,Oakland Raiders,Devante Parker,135.1,132.58
Dak Prescott,Alvin Kamara,Miles Sanders,Julio Jones,Mike Evans,Curtis Samuel,Greg Olsen,Miami Dolphins,Tyler Boyd,134.95,110.26
Dak Prescott,Alvin Kamara,Kalen Ballage,Michael Thomas,Chris Godwin,D.J. Moore,OJ Howard,Arizona Cardinals,Raheem Mostert,134.91,138.76
Jameis Winston,Christian McCaffrey,Kalen Ballage,Julio Jones,D.J. Moore,Curtis Samuel,Eric Ebron,New Orleans Saints,Raheem Mostert,134.87,134.72
Jameis Winston,Dalvin Cook,Alvin Kamara,D.J. Chark,Dede Westbrook,Deebo Samuel,Jack Doyle,Arizona Cardinals,Josh Jacobs,134.83,148.12
Lamar Jackson,Kalen Ballage,Miles Sanders,Michael Thomas,Mike Evans,Randall Cobb,Darren Waller,Indianapolis Colts,OJ Howard,134.81,136.58
Deshaun Watson,Kenyan Drake,Brian Hill,DeAndre Hopkins,Julio Jones,Jamison Crowder,Mark Andrews,Arizona Cardinals,Miles Sanders,134.7,102.26
Kyle Allen,Dalvin Cook,Kenyan Drake,Michael Thomas,Tyrell Williams,Hunter Renfrow,Darren Waller,Arizona Cardinals,Miles Sanders,134.69,119.9
Lamar Jackson,Alvin Kamara,Brian Hill,Michael Thomas,Tyler Boyd,Phillip Dorsett,Zach Ertz,Miami Dolphins,Dallas Goedert,134.68,135.48
Jameis Winston,Le'Veon Bell,Josh Jacobs,D.J. Chark,D.J. Moore,Curtis Samuel,Greg Olsen,Oakland Raiders,Brian Hill,134.5,142.32
Jameis Winston,Christian McCaffrey,Josh Jacobs,John Brown,Devante Parker,Deebo Samuel,Dawson Knox,New York Jets,Brian Hill,134.47,182.92
Lamar Jackson,Alvin Kamara,Josh Jacobs,DeAndre Hopkins,Jamison Crowder,Demaryius Thomas,Nick Boyle,Washington Redskins,Brian Hill,134.44,128.18
Jameis Winston,Joe Mixon,Kenyan Drake,Michael Thomas,D.J. Moore,Calvin Ridley,Greg Olsen,Atlanta Falcons,Devante Parker,134.44,190.52
Jameis Winston,Josh Jacobs,Devin Singletary,Michael Thomas,Chris Godwin,Curtis Samuel,Nick Boyle,Arizona Cardinals,Demaryius Thomas,134.4,114.12
Matt Ryan,Christian McCaffrey,Miles Sanders,Mike Evans,D.J. Moore,Calvin Ridley,T.J. Hockenson,Washington Redskins,Deebo Samuel,134.39,149.94
Lamar Jackson,Dalvin Cook,Miles Sanders,Julio Jones,Mike Evans,Courtland Sutton,Noah Fant,Arizona Cardinals,Irv Smith Jr.,134.28,128.9
Jameis Winston,Dalvin Cook,Devin Singletary,Mike Evans,D.J. Moore,Hunter Renfrow,OJ Howard,Washington Redskins,Brian Hill,134.28,97.22
Kyle Allen,Christian McCaffrey,Josh Jacobs,Julio Jones,Curtis Samuel,Dede Westbrook,Dawson Knox,Washington Redskins,Miles Sanders,134.21,114.5
Deshaun Watson,Leonard Fournette,Miles Sanders,Julio Jones,D.J. Moore,Terry McLaurin,Darren Waller,Minnesota Vikings,Russell Gage,134.15,89.26
Jameis Winston,Christian McCaffrey,Brian Hill,Michael Thomas,Demaryius Thomas,Kendrick Bourne,OJ Howard,Minnesota Vikings,Kalen Ballage,134.14,126.32
Lamar Jackson,Alvin Kamara,Le'Veon Bell,Mike Evans,D.J. Moore,Deebo Samuel,Greg Olsen,New Orleans Saints,Russell Gage,134.12,157.88
Drew Brees,Josh Jacobs,Miles Sanders,Michael Thomas,Mike Evans,Calvin Ridley,Jordan Akins,Oakland Raiders,Raheem Mostert,134.11,136.02
Lamar Jackson,Leonard Fournette,Brian Hill,Michael Thomas,Christian Kirk,Deebo Samuel,Eric Ebron,Oakland Raiders,Kendrick Bourne,134.09,146.08
Jameis Winston,Dalvin Cook,Josh Jacobs,Julio Jones,Tyler Boyd,Hunter Renfrow,Darren Waller,Detroit Lions,Eric Ebron,134.02,102.52
Lamar Jackson,Dalvin Cook,Miles Sanders,Julian Edelman,D.J. Moore,Auden Tate,Zach Ertz,Minnesota Vikings,Dallas Goedert,134.01,133.18
Drew Brees,Devin Singletary,Brian Hill,Michael Thomas,Chris Godwin,Kendrick Bourne,Zach Ertz,New Orleans Saints,Miles Sanders,134.0,132.12
Matt Ryan,Alvin Kamara,Kenyan Drake,Michael Thomas,D.J. Moore,Tyler Boyd,Jaeden Graham,New York Jets,Miles Sanders,133.99,123.54
Jameis Winston,Alvin Kamara,Le'Veon Bell,Chris Godwin,Calvin Ridley,Tyler Boyd,OJ Howard,Washington Redskins,Miles Sanders,133.95,119.92
Lamar Jackson,Alvin Kamara,Kenyan Drake,Mike Evans,Kenny Stills,Dede Westbrook,Mark Andrews,Washington Redskins,Miles Sanders,133.93,122.98
Lamar Jackson,Joe Mixon,Ronald Jones II,Michael Thomas,DeAndre Hopkins,D.J. Moore,Eric Ebron,Arizona Cardinals,Jordan Akins,133.92,128.58
Deshaun Watson,Josh Jacobs,Raheem Mostert,Michael Thomas,DeAndre Hopkins,Devante Parker,Greg Olsen,Arizona Cardinals,Kenny Stills,133.9,117.36
Kyle Allen,Alvin Kamara,Tevin Coleman,Michael Thomas,D.J. Moore,Calvin Ridley,Dallas Goedert,Washington Redskins,Demaryius Thomas,133.87,147.3
Lamar Jackson,Dalvin Cook,Brian Hill,Michael Thomas,Mike Evans,Auden Tate,Nick Boyle,Detroit Lions,Jordan Akins,133.86,108.68
Kyle Allen,Tevin Coleman,Brian Hill,Michael Thomas,Julio Jones,Devante Parker,Darren Waller,New Orleans Saints,Russell Gage,133.77,128.1
Deshaun Watson,Christian McCaffrey,Alvin Kamara,D.J. Moore,Mohamed Sanu,Phillip Dorsett,Zach Ertz,Arizona Cardinals,Eric Ebron,133.77,124.36
Josh Allen,Alvin Kamara,Brian Hill,DeAndre Hopkins,John Brown,D.J. Moore,Dawson Knox,Minnesota Vikings,Miles Sanders,133.68,152.94
Deshaun Watson,Le'Veon Bell,James White,Michael Thomas,Chris Godwin,Russell Gage,Jared Cook,Arizona Cardinals,Miles Sanders,133.67,103.06
Jameis Winston,Christian McCaffrey,Brian Hill,Amari Cooper,Michael Gallup,Randall Cobb,Nick Boyle,Washington Redskins,Miles Sanders,133.59,133.52
Drew Brees,Alvin Kamara,Miles Sanders,Michael Thomas,Julio Jones,Dede Westbrook,OJ Howard,Minnesota Vikings,Nick Boyle,133.59,108.32
Dak Prescott,Leonard Fournette,Brian Hill,Michael Thomas,Jamison Crowder,Terry McLaurin,Greg Olsen,Arizona Cardinals,Demaryius Thomas,133.44,133.06
Dak Prescott,Tevin Coleman,Devin Singletary,Julio Jones,D.J. Moore,Calvin Ridley,Zach Ertz,Indianapolis Colts,Miles Sanders,133.37,149.26
Deshaun Watson,Alvin Kamara,Josh Jacobs,John Brown,Devante Parker,Cole Beasley,Mark Andrews,New Orleans Saints,Miles Sanders,133.33,155.76
Kyle Allen,Le'Veon Bell,Kalen Ballage,Michael Thomas,Julio Jones,Calvin Ridley,Eric Ebron,Arizona Cardinals,Tyler Boyd,133.32,130.7
Jameis Winston,Devin Singletary,Joe Mixon,Julio Jones,Mike Evans,Jamison Crowder,Jared Cook,New Orleans Saints,Miles Sanders,133.32,127.22
Deshaun Watson,Alvin Kamara,Josh Jacobs,Michael Thomas,Mike Evans,Kendrick Bourne,OJ Howard,Detroit Lions,Dallas Goedert,133.31,109.56
Matt Ryan,Dalvin Cook,Josh Jacobs,Mike Evans,Curtis Samuel,Russell Gage,Zach Ertz,New Orleans Saints,Miles Sanders,133.3,118.24
Deshaun Watson,Christian McCaffrey,Brian Hill,Michael Thomas,Dede Westbrook,Chester Rogers,Eric Ebron,Miami Dolphins,Raheem Mostert,133.26,96.76
Dak Prescott,Dalvin Cook,Miles Sanders,Michael Thomas,D.J. Moore,Jamison Crowder,Ryan Griffin,Atlanta Falcons,Trey Quinn,133.22,178.26
Jameis Winston,Miles Sanders,Raheem Mostert,Michael Thomas,DeAndre Hopkins,Tyler Boyd,Mark Andrews,Buffalo Bills,Nick Boyle,133.22,110.12
Drew Brees,Devin Singletary,Kalen Ballage,Michael Thomas,Mike Evans,D.J. Moore,Eric Ebron,Detroit Lions,Deebo Samuel,133.19,129.62
Lamar Jackson,Leonard Fournette,Alvin Kamara,D.J. Moore,Devante Parker,Kenny Stills,Darren Fells,Indianapolis Colts,Brian Hill,133.1,130.98
Jameis Winston,James White,Sony Michel,Michael Thomas,Jamison Crowder,Calvin Ridley,Darren Waller,Miami Dolphins,Miles Sanders,132.99,137.42
Lamar Jackson,Leonard Fournette,Josh Jacobs,Julio Jones,Curtis Samuel,Devante Parker,Greg Olsen,Detroit Lions,Kalen Ballage,132.99,129.98
Jameis Winston,Alvin Kamara,Josh Jacobs,Michael Thomas,Randall Cobb,Allen Hurns,Jared Cook,Minnesota Vikings,Duke Johnson,132.97,144.32
Lamar Jackson,Le'Veon Bell,Miles Sanders,Michael Thomas,Curtis Samuel,Devante Parker,Mark Andrews,Denver Broncos,Jordan Akins,132.96,144.08
Dak Prescott,Dalvin Cook,Brian Hill,Michael Thomas,Devante Parker,Cole Beasley,Dawson Knox,Washington Redskins,Kalen Ballage,132.95,144.66
