QB,RB,RB,WR,WR,WR,TE,DST,FLEX,PROJ,ACTUAL
Deshaun Watson,Chris Carson,Latavius Murray,DeAndre Hopkins,Michael Thomas,Kenny Stills,Jonnu Smith,Tennessee Titans,Demaryius Thomas,147.75,184.96
Deshaun Watson,Le'Veon Bell,Latavius Murray,Michael Thomas,Chris Godwin,Tyler Boyd,Cameron Brate,Jacksonville Jaguars,Corey Davis,146.2,151.46
Derek Carr,Latavius Murray,Devonta Freeman,DeAndre Hopkins,Michael Thomas,Courtland Sutton,Darren Waller,Carolina Panthers,Mike Williams,145.76,167.7
Russell Wilson,Le'Veon Bell,Latavius Murray,Michael Thomas,T.Y. Hilton,Courtland Sutton,Hunter Henry,Tampa Bay Buccaneers,Daesean Hamilton,145.12,123.48
Matthew Stafford,Chris Carson,Latavius Murray,Michael Thomas,Kenny Golladay,Tyler Boyd,Evan Engram,Los Angeles Chargers,Mike Williams,144.78,190.38
Deshaun Watson,Nick Chubb,Latavius Murray,Michael Thomas,Allen Robinson,Dede Westbrook,Hunter Henry,Indianapolis Colts,Mike Williams,143.92,150.36
Matthew Stafford,Latavius Murray,James White,DeAndre Hopkins,Michael Thomas,Larry Fitzgerald,Hunter Henry,Jacksonville Jaguars,Ted Ginn,143.41,166.88
Ryan Tannehill,Chris Carson,Nick Chubb,Michael Thomas,Mike Evans,Courtland Sutton,Cameron Brate,Detroit Lions,Latavius Murray,143.32,193.42
Russell Wilson,Latavius Murray,Ty Johnson,Michael Thomas,Tyler Lockett,Corey Davis,Austin Hooper,Tennessee Titans,Mike Williams,143.12,151.78
Gardner Minshew,Christian McCaffrey,Latavius Murray,Michael Thomas,Courtland Sutton,Dede Westbrook,Evan Engram,Jacksonville Jaguars,Demaryius Thomas,143.06,175.96
Deshaun Watson,Leonard Fournette,Latavius Murray,Michael Thomas,Christian Kirk,Ted Ginn,Evan Engram,Denver Broncos,Devonta Freeman,142.93,180.56
Matthew Stafford,Leonard Fournette,Latavius Murray,Michael Thomas,Chris Godwin,Courtland Sutton,Jonnu Smith,Indianapolis Colts,A.J. Brown,142.84,174.38
Matthew Stafford,Le'Veon Bell,Latavius Murray,Michael Thomas,Tyler Lockett,Kenny Stills,Darren Waller,Oakland Raiders,Keke Coutee,142.26,140.18
Kyler Murray,Chris Carson,Latavius Murray,Michael Thomas,T.Y. Hilton,Corey Davis,Darren Waller,Indianapolis Colts,Ted Ginn,142.13,127.7
Russell Wilson,Latavius Murray,David Montgomery,DeAndre Hopkins,Michael Thomas,Tyler Boyd,Gerald Everett,Indianapolis Colts,Auden Tate,142.11,173.08
