QB,RB,RB,WR,WR,WR,TE,DST,FLEX,PROJ,ACTUAL
Jameis Winston,David Montgomery,Devonta Freeman,Michael Thomas,Mike Evans,Christian Kirk,Jack Doyle,Chicago Bears,Devin Singletary,147.54,150.72
Drew Brees,Alvin Kamara,David Montgomery,Michael Thomas,Mike Evans,D.J. Moore,Rhett Ellison,Cleveland Browns,Ted Ginn,146.79,109.98
Patrick Mahomes,Jaylen Samuels,David Montgomery,Michael Thomas,Devante Parker,A.J. Brown,Travis Kelce,Cleveland Browns,Devonta Freeman,146.62,121.94
Drew Brees,David Montgomery,Devin Singletary,Michael Thomas,Chris Godwin,Sammy Watkins,Travis Kelce,Arizona Cardinals,Adam Humphries,145.56,118.98
Drew Brees,Nick Chubb,David Montgomery,Michael Thomas,Julio Jones,Tyler Boyd,Mike Gesicki,Chicago Bears,A.J. Brown,145.35,104.38
Patrick Mahomes,Saquon Barkley,David Montgomery,Michael Thomas,Mike Evans,Adam Humphries,Jonnu Smith,Buffalo Bills,Mike Gesicki,144.83,116.44
Drew Brees,Saquon Barkley,Devonta Freeman,Michael Thomas,Calvin Ridley,Tyler Boyd,Jonnu Smith,Cleveland Browns,Devin Singletary,144.37,95.48
Patrick Mahomes,Alvin Kamara,Devin Singletary,Michael Thomas,D.J. Moore,A.J. Brown,Mark Andrews,Chicago Bears,Adam Humphries,143.89,154.74
Drew Brees,Nick Chubb,Devonta Freeman,Michael Thomas,D.J. Moore,Christian Kirk,Austin Hooper,Arizona Cardinals,Devante Parker,143.77,164.98
Patrick Mahomes,David Montgomery,Damien Williams,Michael Thomas,Chris Godwin,Curtis Samuel,Austin Hooper,Chicago Bears,Ted Ginn,143.56,132.04
Jameis Winston,David Johnson,David Montgomery,Michael Thomas,Julio Jones,Jarvis Landry,Austin Hooper,Cleveland Browns,Adam Humphries,143.4,120.12
Jameis Winston,Damien Williams,Joe Mixon,Michael Thomas,Mike Evans,Chris Godwin,Mike Gesicki,Cleveland Browns,Tyler Boyd,143.23,134.12
Jameis Winston,Alvin Kamara,Devin Singletary,Michael Thomas,Julio Jones,Devante Parker,Jonnu Smith,Arizona Cardinals,Ted Ginn,143.03,117.22
Drew Brees,Aaron Jones,Devonta Freeman,Michael Thomas,Jarvis Landry,Ted Ginn,Travis Kelce,Chicago Bears,Ronald Jones II,142.85,155.08
Patrick Mahomes,Nick Chubb,Kareem Hunt,Michael Thomas,Mike Evans,Sammy Watkins,Travis Kelce,Chicago Bears,Rhett Ellison,142.8,153.54
Drew Brees,Jaylen Samuels,David Montgomery,Michael Thomas,Calvin Ridley,Christian Kirk,Mark Andrews,Kansas City Chiefs,Damien Williams,142.69,147.38
Patrick Mahomes,David Montgomery,Devin Singletary,Michael Thomas,Julio Jones,Golden Tate,Rhett Ellison,Los Angeles Rams,Calvin Ridley,142.63,147.34
Drew Brees,Jaylen Samuels,Devin Singletary,Michael Thomas,Mike Evans,Curtis Samuel,Austin Hooper,Cincinnati Bengals,A.J. Brown,142.63,96.78
Lamar Jackson,Alvin Kamara,David Montgomery,Michael Thomas,Christian Kirk,Sammy Watkins,Jonnu Smith,New York Giants,A.J. Brown,142.61,147.62
Jameis Winston,Aaron Jones,David Montgomery,Michael Thomas,Davante Adams,D.J. Moore,Mike Gesicki,Arizona Cardinals,Curtis Samuel,142.58,160.92
Lamar Jackson,David Montgomery,Devonta Freeman,Michael Thomas,Golden Tate,D.J. Moore,Mark Andrews,Buffalo Bills,Tyler Boyd,142.56,167.42
Jameis Winston,Alvin Kamara,Jaylen Samuels,Michael Thomas,Chris Godwin,Christian Kirk,Rhett Ellison,Cincinnati Bengals,Adam Humphries,142.17,146.62
Drew Brees,Christian McCaffrey,David Montgomery,Michael Thomas,Jarvis Landry,Devante Parker,Jack Doyle,Buffalo Bills,Allen Hurns,142.03,137.98
Patrick Mahomes,Le'Veon Bell,Devonta Freeman,Michael Thomas,Julio Jones,D.J. Moore,Jack Doyle,Kansas City Chiefs,Ted Ginn,141.99,142.44
Jameis Winston,Derrick Henry,David Montgomery,Michael Thomas,Calvin Ridley,Tyler Boyd,Travis Kelce,New York Giants,Ted Ginn,141.91,138.52
Patrick Mahomes,Alvin Kamara,Aaron Jones,Michael Thomas,Devante Parker,Tyler Boyd,Jack Doyle,New York Giants,Mike Gesicki,141.87,150.04
Jameis Winston,Nick Chubb,David Montgomery,Michael Thomas,Chris Godwin,Devante Parker,OJ Howard,Kansas City Chiefs,Ronald Jones II,141.79,146.22
Drew Brees,Devonta Freeman,Kareem Hunt,Michael Thomas,Mike Evans,Julio Jones,Mark Andrews,Los Angeles Rams,Adam Humphries,141.78,139.58
Jameis Winston,Nick Chubb,Devonta Freeman,Michael Thomas,Davante Adams,Golden Tate,Rhett Ellison,Cleveland Browns,Jamison Crowder,141.77,154.02
Patrick Mahomes,Christian McCaffrey,Ronald Jones II,Michael Thomas,Christian Kirk,Sammy Watkins,Jack Doyle,Cleveland Browns,Adam Humphries,141.75,192.34
Patrick Mahomes,Le'Veon Bell,David Johnson,Michael Thomas,Chris Godwin,Tyler Boyd,Jonnu Smith,Arizona Cardinals,A.J. Brown,141.73,126.14
Lamar Jackson,Saquon Barkley,Jaylen Samuels,Michael Thomas,Devante Parker,Albert Wilson,Mike Gesicki,Chicago Bears,Devin Singletary,141.62,113.42
Drew Brees,Christian McCaffrey,Devin Singletary,Michael Thomas,Christian Kirk,Ted Ginn,Mike Gesicki,New York Giants,Joe Mixon,141.52,146.98
Patrick Mahomes,Devonta Freeman,Devin Singletary,Michael Thomas,Tyreek Hill,Davante Adams,Mike Gesicki,Cincinnati Bengals,Sammy Watkins,141.5,151.54
Lamar Jackson,David Montgomery,Ronald Jones II,Michael Thomas,Mike Evans,Calvin Ridley,Austin Hooper,Arizona Cardinals,Cole Beasley,141.37,146.22
Drew Brees,Derrick Henry,Kalen Ballage,Michael Thomas,Chris Godwin,Calvin Ridley,Jack Doyle,Chicago Bears,D.J. Moore,141.26,153.78
Drew Brees,Saquon Barkley,Joe Mixon,Michael Thomas,Davante Adams,Adam Humphries,Austin Hooper,Chicago Bears,Rhett Ellison,141.23,128.88
Jameis Winston,Saquon Barkley,Damien Williams,Michael Thomas,A.J. Brown,Josh Reynolds,Travis Kelce,Chicago Bears,Jonnu Smith,141.16,123.62
Patrick Mahomes,Nick Chubb,David Johnson,Michael Thomas,Cooper Kupp,Calvin Ridley,Mike Gesicki,Cleveland Browns,Ted Ginn,141.08,97.14
Lamar Jackson,David Johnson,Devin Singletary,Michael Thomas,Chris Godwin,D.J. Moore,OJ Howard,Cleveland Browns,Christian Kirk,141.07,168.52
Lamar Jackson,Alvin Kamara,Kareem Hunt,Michael Thomas,Tyreek Hill,Adam Humphries,Travis Kelce,Cleveland Browns,Mike Gesicki,141.02,167.02
Patrick Mahomes,Saquon Barkley,Jaylen Samuels,Michael Thomas,D.J. Moore,Jamison Crowder,Rhett Ellison,Arizona Cardinals,Robby Anderson,140.93,140.54
Patrick Mahomes,Aaron Jones,Devin Singletary,Michael Thomas,Christian Kirk,Curtis Samuel,Travis Kelce,Pittsburgh Steelers,Jonnu Smith,140.9,206.14
Drew Brees,Aaron Jones,David Montgomery,Michael Thomas,Golden Tate,Robby Anderson,Austin Hooper,New York Jets,Jonnu Smith,140.89,137.28
Drew Brees,Alvin Kamara,Kareem Hunt,Michael Thomas,Chris Godwin,Tyler Boyd,Austin Hooper,Buffalo Bills,Albert Wilson,140.75,115.78
Patrick Mahomes,Devonta Freeman,Kalen Ballage,Michael Thomas,Mike Evans,Chris Godwin,OJ Howard,New York Giants,Robby Anderson,140.73,123.74
Jameis Winston,Saquon Barkley,Devonta Freeman,Michael Thomas,Sammy Watkins,Ted Ginn,Austin Hooper,Buffalo Bills,Kalen Ballage,140.66,106.22
Patrick Mahomes,Alvin Kamara,David Montgomery,Michael Thomas,Tyreek Hill,Jarvis Landry,OJ Howard,Arizona Cardinals,Tajae Sharpe,140.64,169.84
Drew Brees,Saquon Barkley,David Johnson,Michael Thomas,Golden Tate,Ted Ginn,Jack Doyle,Arizona Cardinals,Damien Williams,140.63,114.08
Lamar Jackson,Aaron Jones,Le'Veon Bell,Michael Thomas,Jamison Crowder,Darius Slayton,Rhett Ellison,Chicago Bears,David Montgomery,140.51,186.12
Drew Brees,Nick Chubb,Jaylen Samuels,Michael Thomas,Chris Godwin,Cole Beasley,Jonnu Smith,Los Angeles Rams,Ted Ginn,140.47,118.08
Drew Brees,Alvin Kamara,Joe Mixon,Michael Thomas,Calvin Ridley,Devante Parker,Travis Kelce,Cincinnati Bengals,Josh Reynolds,140.47,125.18
Drew Brees,Aaron Jones,Damien Williams,Michael Thomas,Julio Jones,Devante Parker,OJ Howard,Cleveland Browns,Curtis Samuel,140.34,137.88
Drew Brees,Devin Singletary,Ronald Jones II,Michael Thomas,Julio Jones,Davante Adams,Jack Doyle,New York Jets,Jamison Crowder,140.26,155.48
Lamar Jackson,Nick Chubb,Devin Singletary,Michael Thomas,Mike Evans,Tyler Boyd,Tyler Eifert,Indianapolis Colts,Adam Humphries,140.25,141.42
