QB,RB,RB,WR,WR,WR,TE,DST,FLEX,PROJ,ACTUAL
Patrick Mahomes,Austin Ekeler,Phillip Lindsay,Keenan Allen,Preston Williams,Dontrelle Inman,Evan Engram,Los Angeles Chargers,Darren Waller,153.42,120.9
Patrick Mahomes,Devonta Freeman,Chris Thompson,Keenan Allen,Cooper Kupp,Tyler Lockett,Will Dissly,Los Angeles Chargers,Christian Kirk,151.69,135.8
Russell Wilson,Austin Ekeler,Marlon Mack,Keenan Allen,Larry Fitzgerald,Paul Richardson,Will Dissly,Los Angeles Chargers,Kerryon Johnson,149.94,120.7
Patrick Mahomes,David Johnson,Leonard Fournette,Keenan Allen,Tyler Lockett,Paul Richardson,Evan Engram,Chicago Bears,Trey Quinn,149.56,125.1
Patrick Mahomes,Austin Ekeler,David Johnson,Keenan Allen,Curtis Samuel,Will Fuller,Greg Olsen,Carolina Panthers,Chris Thompson,148.79,120.0
Patrick Mahomes,Marlon Mack,Leonard Fournette,Keenan Allen,Sammy Watkins,Dontrelle Inman,Travis Kelce,Carolina Panthers,Will Dissly,148.64,132.4
Patrick Mahomes,Chris Carson,Kenyan Drake,Keenan Allen,Kenny Golladay,Paul Richardson,Travis Kelce,Los Angeles Chargers,Austin Hooper,148.35,142.2
Russell Wilson,Austin Ekeler,Devonta Freeman,Keenan Allen,Cooper Kupp,Sterling Shepard,Evan Engram,Carolina Panthers,Trey Quinn,147.67,144.5
Russell Wilson,Leonard Fournette,Kenyan Drake,DeAndre Hopkins,Keenan Allen,Curtis Samuel,Evan Engram,Los Angeles Chargers,Greg Olsen,147.62,101.2
Russell Wilson,Christian McCaffrey,Kerryon Johnson,Keenan Allen,Tyler Lockett,Christian Kirk,Darren Waller,Carolina Panthers,Dontrelle Inman,147.6,134.0
Patrick Mahomes,Marlon Mack,Kerryon Johnson,Keenan Allen,Kenny Golladay,Christian Kirk,Evan Engram,Minnesota Vikings,T.J. Hockenson,147.43,109.5
Patrick Mahomes,Christian McCaffrey,Kenyan Drake,Keenan Allen,Larry Fitzgerald,D.K. Metcalf,Evan Engram,Tampa Bay Buccaneers,Will Dissly,146.92,129.4
Patrick Mahomes,Kerryon Johnson,Chris Thompson,Keenan Allen,Sammy Watkins,Marvin Jones,Darren Waller,Chicago Bears,Austin Hooper,146.74,132.9
Philip Rivers,Austin Ekeler,Leonard Fournette,Keenan Allen,Cooper Kupp,Christian Kirk,Greg Olsen,Chicago Bears,Dontrelle Inman,146.68,162.2
Patrick Mahomes,Leonard Fournette,Wayne Gallman,Keenan Allen,Brandin Cooks,Larry Fitzgerald,T.J. Hockenson,Los Angeles Chargers,Marvin Jones,146.45,145.3
Russell Wilson,David Johnson,Phillip Lindsay,Keenan Allen,Brandin Cooks,Christian Kirk,Evan Engram,Los Angeles Rams,Will Dissly,146.36,108.5
Patrick Mahomes,Austin Ekeler,Devonta Freeman,Keenan Allen,Sammy Watkins,Courtland Sutton,T.J. Hockenson,Los Angeles Rams,Paul Richardson,146.32,131.7
Deshaun Watson,Marlon Mack,Chris Carson,Keenan Allen,Cooper Kupp,Will Fuller,Darren Waller,Los Angeles Chargers,Greg Olsen,146.26,108.8
Daniel Jones,Christian McCaffrey,Marlon Mack,Keenan Allen,Cooper Kupp,Paul Richardson,Evan Engram,Seattle Seahawks,Dontrelle Inman,146.23,134.2
Philip Rivers,Christian McCaffrey,David Johnson,Keenan Allen,Sterling Shepard,Dontrelle Inman,Austin Hooper,Los Angeles Chargers,Will Dissly,146.09,173.2
Patrick Mahomes,Wayne Gallman,Kenyan Drake,Keenan Allen,Cooper Kupp,Robert Woods,Darren Waller,Carolina Panthers,Chris Godwin,146.08,202.7
Deshaun Watson,Austin Ekeler,Wayne Gallman,Keenan Allen,Tyler Lockett,D.K. Metcalf,Darren Waller,Chicago Bears,Will Dissly,145.89,139.1
Deshaun Watson,Nick Chubb,Chris Thompson,Keenan Allen,Robert Woods,Sterling Shepard,Evan Engram,Los Angeles Chargers,Paul Richardson,145.63,148.8
Patrick Mahomes,Leonard Fournette,Devonta Freeman,Keenan Allen,Kenny Golladay,Demarcus Robinson,Darren Waller,Atlanta Falcons,Curtis Samuel,145.57,128.1
Deshaun Watson,David Johnson,Kerryon Johnson,DeAndre Hopkins,Keenan Allen,Will Fuller,Evan Engram,Atlanta Falcons,Dontrelle Inman,145.49,99.4
Patrick Mahomes,Austin Ekeler,Wayne Gallman,Keenan Allen,Christian Kirk,Calvin Ridley,Delanie Walker,Houston Texans,Austin Hooper,145.28,139.7
Russell Wilson,David Johnson,Chris Thompson,Keenan Allen,Cooper Kupp,Larry Fitzgerald,Darren Waller,Atlanta Falcons,D.K. Metcalf,145.13,109.5
Patrick Mahomes,Austin Ekeler,Nick Chubb,Keenan Allen,Kenny Golladay,Mecole Hardman,Will Dissly,Denver Broncos,Trey Quinn,145.09,154.6
Patrick Mahomes,Christian McCaffrey,Phillip Lindsay,Keenan Allen,Sterling Shepard,Christian Kirk,Vernon Davis,Atlanta Falcons,Paul Richardson,145.06,102.8
Patrick Mahomes,Kerryon Johnson,Phillip Lindsay,DeAndre Hopkins,Keenan Allen,D.J. Moore,Greg Olsen,Baltimore Ravens,Will Dissly,144.89,93.2
Russell Wilson,Phillip Lindsay,Wayne Gallman,Julio Jones,Keenan Allen,Cooper Kupp,Austin Hooper,Los Angeles Chargers,Mohamed Sanu,144.82,153.2
Patrick Mahomes,Devonta Freeman,Wayne Gallman,Keenan Allen,Mecole Hardman,Will Fuller,Travis Kelce,Washington Redskins,Evan Engram,144.7,118.7
Lamar Jackson,Leonard Fournette,Kerryon Johnson,Keenan Allen,Odell Beckham Jr,Dontrelle Inman,Mark Andrews,Los Angeles Chargers,Devonta Freeman,144.67,144.18
Patrick Mahomes,David Johnson,Marlon Mack,Keenan Allen,Robert Woods,Emmanuel Sanders,Noah Fant,Los Angeles Chargers,Courtland Sutton,144.54,153.7
Patrick Mahomes,David Johnson,Nick Chubb,Keenan Allen,Cooper Kupp,Brandin Cooks,OJ Howard,Tampa Bay Buccaneers,Dontrelle Inman,144.49,171.9
Patrick Mahomes,Marlon Mack,Kenyan Drake,Keenan Allen,Tyler Lockett,Marvin Jones,Greg Olsen,Los Angeles Rams,Demarcus Robinson,144.37,80.8
Russell Wilson,Phillip Lindsay,Devonta Freeman,Keenan Allen,Tyler Lockett,Kenny Golladay,Travis Kelce,Chicago Bears,T.J. Hockenson,144.27,126.1
Matt Ryan,Marlon Mack,Devonta Freeman,Keenan Allen,Brandin Cooks,Calvin Ridley,Evan Engram,Los Angeles Chargers,Austin Hooper,144.09,116.08
Russell Wilson,Austin Ekeler,Leonard Fournette,Keenan Allen,Tyler Lockett,Keesean Johnson,Austin Hooper,Los Angeles Rams,Chris Thompson,144.07,136.8
Patrick Mahomes,Christian McCaffrey,Chris Carson,Keenan Allen,Allen Robinson,Mecole Hardman,T.J. Hockenson,Chicago Bears,Dontrelle Inman,144.03,144.1
Patrick Mahomes,Phillip Lindsay,Chris Thompson,Keenan Allen,Odell Beckham Jr,Marquise Brown,Mark Andrews,Denver Broncos,Kenyan Drake,143.96,86.4
Daniel Jones,Kerryon Johnson,Kenyan Drake,Keenan Allen,Odell Beckham Jr,Sterling Shepard,Evan Engram,Los Angeles Rams,Darren Waller,143.94,102.7
Case Keenum,Christian McCaffrey,Devonta Freeman,DeAndre Hopkins,Keenan Allen,Paul Richardson,Darren Waller,Los Angeles Chargers,Trey Quinn,143.87,100.98
