QB,RB,RB,WR,WR,WR,TE,DST,FLEX,PROJ,ACTUAL
Matt Ryan,Christian McCaffrey,Leonard Fournette,Keenan Allen,Michael Thomas,Will Fuller,Austin Hooper,Carolina Panthers,Auden Tate,145.93,259.2
Matt Ryan,David Johnson,Aaron Jones,Julio Jones,Michael Thomas,Emmanuel Sanders,Austin Hooper,Cincinnati Bengals,Mohamed Sanu,143.73,189.9
Matt Ryan,Christian McCaffrey,Le'Veon Bell,Julio Jones,Courtland Sutton,Mohamed Sanu,Tyler Eifert,Pittsburgh Steelers,Leonard Fournette,142.25,185.2
Matt Ryan,Christian McCaffrey,James White,DeAndre Hopkins,Julio Jones,Emmanuel Sanders,Greg Olsen,Tampa Bay Buccaneers,Auden Tate,141.85,137.3
Matt Ryan,Le'Veon Bell,Leonard Fournette,DeAndre Hopkins,Larry Fitzgerald,Emmanuel Sanders,Austin Hooper,Tennessee Titans,Curtis Samuel,141.7,135.9
Matt Ryan,Christian McCaffrey,Devonta Freeman,DeAndre Hopkins,Michael Thomas,Mohamed Sanu,Darren Waller,Tennessee Titans,Keesean Johnson,141.44,200.3
Deshaun Watson,David Johnson,Leonard Fournette,DeAndre Hopkins,Michael Thomas,Courtland Sutton,Austin Hooper,Pittsburgh Steelers,Keesean Johnson,141.1,199.34
Deshaun Watson,Christian McCaffrey,David Johnson,Emmanuel Sanders,Will Fuller,Mohamed Sanu,OJ Howard,Tennessee Titans,Leonard Fournette,140.66,223.64
Matt Ryan,Christian McCaffrey,David Johnson,DeAndre Hopkins,Will Fuller,Curtis Samuel,Dawson Knox,Pittsburgh Steelers,Aaron Jones,140.61,251.5
Carson Wentz,Christian McCaffrey,David Johnson,Tyler Boyd,Larry Fitzgerald,Emmanuel Sanders,Austin Hooper,Pittsburgh Steelers,Auden Tate,140.56,162.56
Matt Ryan,David Johnson,Leonard Fournette,DeAndre Hopkins,Chris Godwin,Mohamed Sanu,Greg Olsen,Carolina Panthers,Chris Thompson,140.52,169.6
Matt Ryan,Christian McCaffrey,David Johnson,Allen Robinson,Courtland Sutton,Calvin Ridley,Austin Hooper,Tennessee Titans,James White,140.36,206.7
Matt Ryan,David Johnson,Leonard Fournette,Keenan Allen,Emmanuel Sanders,Courtland Sutton,Evan Engram,Tampa Bay Buccaneers,Phillip Lindsay,140.31,147.5
Matt Ryan,Leonard Fournette,Devonta Freeman,Julio Jones,Chris Godwin,Emmanuel Sanders,Darren Waller,Minnesota Vikings,Will Fuller,140.3,200.8
Matt Ryan,Christian McCaffrey,Ezekiel Elliott,Michael Thomas,Emmanuel Sanders,Courtland Sutton,Noah Fant,Minnesota Vikings,Curtis Samuel,140.25,190.0
