QB,RB,RB,WR,WR,WR,TE,DST,FLEX,PROJ,ACTUAL
Matt Ryan,Leonard Fournette,Le'Veon Bell,Cooper Kupp,Larry Fitzgerald,Mohamed Sanu,George Kittle,Washington Redskins,Kenyan Drake,147.13,132.84
Matt Ryan,Dalvin Cook,Le'Veon Bell,DeAndre Hopkins,Courtland Sutton,Mohamed Sanu,Zach Ertz,New York Jets,Austin Hooper,145.64,131.74
Patrick Mahomes,Le'Veon Bell,Chris Carson,Cooper Kupp,Robert Woods,Courtland Sutton,George Kittle,Jacksonville Jaguars,Austin Hooper,145.04,143.92
Matt Ryan,Nick Chubb,Le'Veon Bell,Julio Jones,D.J. Chark,Emmanuel Sanders,Austin Hooper,Jacksonville Jaguars,Kenyan Drake,144.33,157.94
Patrick Mahomes,Leonard Fournette,Le'Veon Bell,DeAndre Hopkins,Will Fuller,Robby Anderson,George Kittle,New York Jets,Phillip Lindsay,143.56,141.12
Patrick Mahomes,Leonard Fournette,Le'Veon Bell,Julio Jones,Mohamed Sanu,Preston Williams,Austin Hooper,Atlanta Falcons,Joe Mixon,143.05,117.32
Matt Ryan,Leonard Fournette,Le'Veon Bell,Tyler Boyd,Calvin Ridley,Robert Woods,Austin Hooper,Minnesota Vikings,Phillip Lindsay,142.64,143.64
Lamar Jackson,Nick Chubb,Le'Veon Bell,Cooper Kupp,Brandin Cooks,Emmanuel Sanders,Zach Ertz,New York Jets,George Kittle,142.59,122.44
Matt Ryan,Leonard Fournette,Le'Veon Bell,Amari Cooper,Michael Gallup,Robby Anderson,Zach Ertz,Jacksonville Jaguars,Chris Carson,142.23,144.94
Matt Ryan,Le'Veon Bell,Devonta Freeman,DeAndre Hopkins,Robert Woods,D.J. Chark,George Kittle,Atlanta Falcons,Brandin Cooks,142.12,130.94
Patrick Mahomes,Le'Veon Bell,Chris Carson,DeAndre Hopkins,Emmanuel Sanders,Mohamed Sanu,Travis Kelce,Arizona Cardinals,Kenyan Drake,141.79,109.22
Patrick Mahomes,Dalvin Cook,Le'Veon Bell,Amari Cooper,Robby Anderson,Jamison Crowder,Austin Hooper,Washington Redskins,Kenyan Drake,141.78,141.82
Lamar Jackson,Leonard Fournette,Le'Veon Bell,Julio Jones,Tyler Boyd,Courtland Sutton,Mark Andrews,New York Jets,Kenyan Drake,141.71,130.04
Matt Ryan,Alvin Kamara,Le'Veon Bell,Larry Fitzgerald,Will Fuller,Preston Williams,Austin Hooper,Arizona Cardinals,Chris Carson,141.57,145.84
Matt Ryan,Le'Veon Bell,Chris Carson,Julio Jones,Calvin Ridley,Jarvis Landry,George Kittle,New York Jets,Joe Mixon,141.3,146.54
Patrick Mahomes,Le'Veon Bell,Kenyan Drake,Michael Thomas,D.J. Chark,Dede Westbrook,Zach Ertz,Minnesota Vikings,George Kittle,141.22,117.32
