QB,RB,RB,WR,WR,WR,TE,DST,FLEX,PROJ,ACTUAL
Patrick Mahomes,Christian McCaffrey,Miles Sanders,Davante Adams,Christian Kirk,Robert Woods,Jack Doyle,Kansas City Chiefs,Tyler Higbee,145.02,187.1
Patrick Mahomes,Christian McCaffrey,Saquon Barkley,Tyler Boyd,Auden Tate,Demaryius Thomas,Tyler Higbee,Cleveland Browns,Todd Gurley,143.05,133.2
Patrick Mahomes,Christian McCaffrey,Phillip Lindsay,Davante Adams,Devante Parker,Sterling Shepard,Kaden Smith,Baltimore Ravens,Auden Tate,141.52,151.8
Patrick Mahomes,Christian McCaffrey,Phillip Lindsay,Mike Evans,Dede Westbrook,Chris Conley,Jack Doyle,Cleveland Browns,LeSean McCoy,141.49,119.2
Lamar Jackson,Christian McCaffrey,Miles Sanders,Jamison Crowder,Tyler Boyd,Auden Tate,George Kittle,Baltimore Ravens,Jack Doyle,140.21,125.0
Lamar Jackson,Christian McCaffrey,Aaron Jones,Robert Woods,Brandin Cooks,Sterling Shepard,Tyler Higbee,Cleveland Browns,Phillip Lindsay,139.43,141.1
Patrick Mahomes,Christian McCaffrey,Aaron Jones,Devante Parker,Tyler Boyd,Allen Hurns,Mike Gesicki,Indianapolis Colts,Jack Doyle,139.26,152.1
Lamar Jackson,Christian McCaffrey,Saquon Barkley,Davante Adams,D.J. Chark,Cody Latimer,Kaden Smith,Indianapolis Colts,Tyler Higbee,139.13,143.1
Patrick Mahomes,Christian McCaffrey,Leonard Fournette,Sterling Shepard,Corey Davis,Marcus Johnson,Jack Doyle,New York Giants,Saquon Barkley,139.12,113.4
Carson Wentz,Christian McCaffrey,Saquon Barkley,Mike Evans,Devante Parker,Alshon Jeffery,Jack Doyle,Baltimore Ravens,Tyler Higbee,138.88,192.0
Patrick Mahomes,Christian McCaffrey,Phillip Lindsay,Keenan Allen,Courtland Sutton,Mike Williams,Tyler Higbee,Indianapolis Colts,Jamaal Williams,138.65,154.2
Patrick Mahomes,Christian McCaffrey,Le'Veon Bell,D.J. Chark,Sterling Shepard,Chris Conley,OJ Howard,Green Bay Packers,Tyler Higbee,138.25,124.6
Patrick Mahomes,Christian McCaffrey,Le'Veon Bell,Dede Westbrook,Robby Anderson,Auden Tate,Tyler Eifert,Indianapolis Colts,Miles Sanders,138.19,129.8
Nick Foles,Christian McCaffrey,Miles Sanders,Mike Evans,D.J. Chark,Tyler Boyd,Tyler Higbee,New York Giants,Phillip Lindsay,138.0,107.52
Andy Dalton,Christian McCaffrey,Le'Veon Bell,Davante Adams,Tyler Boyd,Demaryius Thomas,Jack Doyle,Los Angeles Chargers,Phillip Lindsay,137.85,118.32
Lamar Jackson,Christian McCaffrey,Todd Gurley,Davante Adams,Devante Parker,Corey Davis,Jack Doyle,Cleveland Browns,Jonnu Smith,137.83,152.9
Patrick Mahomes,Christian McCaffrey,Leonard Fournette,Jamison Crowder,Tyler Boyd,Cody Latimer,Tyler Eifert,Kansas City Chiefs,Phillip Lindsay,137.73,111.2
Lamar Jackson,Christian McCaffrey,Miles Sanders,Devante Parker,Alshon Jeffery,Dede Westbrook,Mike Gesicki,Kansas City Chiefs,Phillip Lindsay,137.6,201.7
Patrick Mahomes,Christian McCaffrey,Leonard Fournette,Jarvis Landry,Dede Westbrook,Diontae Johnson,Vance McDonald,Baltimore Ravens,Tyler Higbee,137.49,130.3
Patrick Mahomes,Leonard Fournette,Le'Veon Bell,Davante Adams,Sammy Watkins,Tyrell Williams,Tyler Higbee,Cleveland Browns,Phillip Lindsay,137.27,114.5
Patrick Mahomes,Christian McCaffrey,Jamaal Williams,Sammy Watkins,Diontae Johnson,Auden Tate,Travis Kelce,Green Bay Packers,Jack Doyle,137.19,105.4
Lamar Jackson,Christian McCaffrey,Leonard Fournette,D.J. Moore,Curtis Samuel,Auden Tate,Greg Olsen,Kansas City Chiefs,Tyler Higbee,137.11,159.8
Patrick Mahomes,Christian McCaffrey,Miles Sanders,Alshon Jeffery,Sterling Shepard,Mike Williams,Hunter Henry,Cleveland Browns,Noah Fant,137.09,131.1
Patrick Mahomes,Saquon Barkley,Le'Veon Bell,Cooper Kupp,D.J. Moore,Brandin Cooks,Jack Doyle,Indianapolis Colts,Tyler Higbee,137.07,141.8
Patrick Mahomes,Saquon Barkley,Miles Sanders,Chris Godwin,Mike Evans,Dede Westbrook,Tyler Higbee,Cincinnati Bengals,Sterling Shepard,136.91,145.5
Patrick Mahomes,Christian McCaffrey,Todd Gurley,D.J. Chark,Courtland Sutton,Tim Patrick,Noah Fant,Los Angeles Chargers,Jack Doyle,136.63,108.1
Lamar Jackson,Christian McCaffrey,Le'Veon Bell,Cooper Kupp,Christian Kirk,Demaryius Thomas,Mike Gesicki,Baltimore Ravens,Tyler Higbee,136.61,135.9
Andy Dalton,Christian McCaffrey,Aaron Jones,Mike Evans,Robby Anderson,Auden Tate,Jack Doyle,Kansas City Chiefs,Todd Gurley,136.55,135.42
Lamar Jackson,Christian McCaffrey,Saquon Barkley,Keenan Allen,Mike Williams,Tim Patrick,Jack Doyle,Kansas City Chiefs,LeSean McCoy,136.51,147.8
Daniel Jones,Christian McCaffrey,Leonard Fournette,Davante Adams,Tyler Boyd,Sterling Shepard,Tyler Higbee,Oakland Raiders,LeSean McCoy,136.44,139.5
Patrick Mahomes,Christian McCaffrey,Miles Sanders,Tyler Boyd,Sammy Watkins,Chris Conley,Darren Waller,Cincinnati Bengals,Kaden Smith,136.29,130.8
Patrick Mahomes,Christian McCaffrey,Aaron Jones,Cooper Kupp,Jamison Crowder,Larry Fitzgerald,Kaden Smith,Miami Dolphins,Tyler Higbee,136.24,119.4
Lamar Jackson,Christian McCaffrey,Le'Veon Bell,Mike Evans,Sterling Shepard,Allen Lazard,Jack Doyle,Philadelphia Eagles,Kaden Smith,136.18,132.1
Patrick Mahomes,Todd Gurley,Phillip Lindsay,Cooper Kupp,Mike Evans,Robert Woods,George Kittle,Baltimore Ravens,Tyler Higbee,136.1,145.3
Patrick Mahomes,Christian McCaffrey,Leonard Fournette,Robert Woods,Alshon Jeffery,Auden Tate,Dallas Goedert,Washington Redskins,Mike Gesicki,135.95,172.8
