QB,RB,RB,WR,WR,WR,TE,DST,FLEX,PROJ,ACTUAL
Matt Ryan,Leonard Fournette,Devonta Freeman,T.Y. Hilton,Robert Woods,Calvin Ridley,Mark Andrews,Buffalo Bills,Josh Jacobs,146.38,104.86
Jared Goff,Leonard Fournette,Derrick Henry,Cooper Kupp,T.Y. Hilton,Tyler Boyd,Austin Hooper,Washington Redskins,Josh Jacobs,145.21,144.22
Jared Goff,Leonard Fournette,Chris Carson,Robert Woods,Tyler Boyd,Brandin Cooks,Hunter Henry,Buffalo Bills,Kerryon Johnson,144.12,116.92
Matt Ryan,Leonard Fournette,Chris Carson,Cooper Kupp,Allen Robinson,Brandin Cooks,Darren Waller,Washington Redskins,Devonta Freeman,143.53,127.16
Matt Ryan,Dalvin Cook,Leonard Fournette,Cooper Kupp,Mike Williams,Allen Lazard,Austin Hooper,Buffalo Bills,Kenyan Drake,142.98,116.26
Matt Ryan,Leonard Fournette,Kerryon Johnson,Julio Jones,Kenny Golladay,Allen Robinson,Austin Hooper,Indianapolis Colts,Josh Jacobs,142.02,112.46
Jared Goff,Dalvin Cook,Leonard Fournette,Keenan Allen,T.Y. Hilton,Mike Williams,Hunter Henry,Indianapolis Colts,Devonta Freeman,141.96,142.82
Jared Goff,Leonard Fournette,Joe Mixon,Cooper Kupp,Kenny Golladay,Mohamed Sanu,Mark Andrews,Buffalo Bills,David Montgomery,141.87,87.12
Matt Ryan,Dalvin Cook,Leonard Fournette,Robert Woods,Tyler Boyd,Mohamed Sanu,Darren Waller,Indianapolis Colts,Derrick Henry,141.44,140.76
Matt Ryan,Leonard Fournette,Kerryon Johnson,Cooper Kupp,Tyler Lockett,T.Y. Hilton,Hunter Henry,Los Angeles Chargers,Mohamed Sanu,140.97,94.56
Jared Goff,Dalvin Cook,Leonard Fournette,Julio Jones,Brandin Cooks,Allen Lazard,Mark Andrews,New York Giants,Josh Jacobs,140.76,143.12
Jared Goff,Devonta Freeman,Josh Jacobs,Julio Jones,Cooper Kupp,Allen Robinson,Hunter Henry,Buffalo Bills,Kenyan Drake,140.63,135.42
Matt Ryan,Chris Carson,Derrick Henry,T.Y. Hilton,John Brown,Brandin Cooks,Austin Hooper,Buffalo Bills,Joe Mixon,140.62,114.36
Jared Goff,Leonard Fournette,Chris Carson,Larry Fitzgerald,Kenny Golladay,Calvin Ridley,Austin Hooper,Arizona Cardinals,Devonta Freeman,140.62,100.32
Matt Ryan,Leonard Fournette,Chris Carson,Julio Jones,T.Y. Hilton,Tyler Boyd,Gerald Everett,Arizona Cardinals,Mike Williams,140.34,116.36
Matt Ryan,Dalvin Cook,Josh Jacobs,Cooper Kupp,Keenan Allen,Robert Woods,Hunter Henry,Washington Redskins,Joe Mixon,139.98,120.66
Jared Goff,Dalvin Cook,Leonard Fournette,Robert Woods,Allen Robinson,John Brown,Austin Hooper,Miami Dolphins,Joe Mixon,139.72,156.02
Jared Goff,Leonard Fournette,Kenyan Drake,Julio Jones,T.Y. Hilton,Robert Woods,Darren Waller,Detroit Lions,Kenny Golladay,139.7,135.32
Matt Ryan,Derrick Henry,Devonta Freeman,Julio Jones,Cooper Kupp,Tyler Boyd,Mark Andrews,Miami Dolphins,Kerryon Johnson,139.65,71.86
Matt Ryan,David Johnson,Leonard Fournette,D.J. Chark,Kenny Golladay,Tyler Boyd,Mark Andrews,Washington Redskins,Dede Westbrook,139.62,81.76
Matt Ryan,Leonard Fournette,Derrick Henry,Keenan Allen,Larry Fitzgerald,Kenny Golladay,Hunter Henry,Buffalo Bills,Corey Davis,139.58,103.96
Lamar Jackson,Leonard Fournette,Chris Carson,Cooper Kupp,Tyler Lockett,Allen Lazard,Mark Andrews,Indianapolis Colts,Derrick Henry,139.58,123.92
Matt Ryan,Dalvin Cook,Devonta Freeman,Tyler Lockett,Tyler Boyd,Brandin Cooks,Austin Hooper,Arizona Cardinals,Josh Jacobs,139.51,124.16
Matt Ryan,Leonard Fournette,Chris Carson,D.J. Chark,Robert Woods,Golden Tate,Austin Hooper,Detroit Lions,David Montgomery,139.45,85.86
Jared Goff,Dalvin Cook,Chris Carson,T.Y. Hilton,Golden Tate,Mohamed Sanu,Gerald Everett,Buffalo Bills,Josh Jacobs,139.41,146.42
Jared Goff,David Johnson,Leonard Fournette,Cooper Kupp,Calvin Ridley,Auden Tate,Darren Waller,Indianapolis Colts,Kerryon Johnson,139.2,118.12
Russell Wilson,Dalvin Cook,Leonard Fournette,Tyler Lockett,T.Y. Hilton,Auden Tate,Mark Andrews,Washington Redskins,David Montgomery,139.11,128.24
Josh Allen,Chris Carson,Devonta Freeman,Cooper Kupp,T.Y. Hilton,Robert Woods,Austin Hooper,Indianapolis Colts,Kerryon Johnson,138.84,106.08
Jared Goff,Leonard Fournette,Devonta Freeman,Julio Jones,John Brown,Mohamed Sanu,Evan Engram,Washington Redskins,Kerryon Johnson,138.81,96.82
Matt Ryan,Dalvin Cook,Chris Carson,D.J. Chark,Dede Westbrook,Auden Tate,Hunter Henry,Buffalo Bills,Devonta Freeman,138.73,117.56
Russell Wilson,Leonard Fournette,Chris Carson,Keenan Allen,Allen Robinson,Mike Williams,Delanie Walker,Buffalo Bills,Josh Jacobs,138.71,119.14
